Year    Month   Day     Conc_mg/l Q_cfs      
2008      3         11        0.114     27800     
2008      4         2         0.16      68700     
2008      4         23        0.219     153000    
2008      4         29        0.303     194000    
2008      5         22        0.165     102000    
2008      6         4         0.226     73600     
2008      6         17        0.26      183000    
2008      7         10        0.234     70000     
2008      7         23        0.196     48800     
2008      8         19        0.162     29600     
2008      9         3         0.194     24900     
2008      10        21        0.15      29300     
2008      11        24        0.0863    30400     
2009      3         5         0.242     36100     
2009      3         30        0.204     80200     
2009      4         8         0.227     101000    
2009      4         28        0.211     79200     
2009      5         11        0.147     62900     
2009      5         27        0.165     44300     
2009      6         10        0.157     41200     
2009      7         8         0.146     27000     
2009      10        26        0.24      54700     
2009      11        30        0.086     45800     
2010      3         8         0.0728    39000     
2010      4         8         0.272     127000    
2010      4         21        0.161     68700     
2010      5         5         0.11      53400     
2010      5         18        0.138     68300     
2010      6         2         0.134     46000     
2010      6         28        0.211     93400     
2010      7         15        0.18      80600     
2010      8         17        0.282     81400     
2010      9         28        0.236     100000    
2010      10        4         0.189     179000    
2010      11        30        0.141     59800     
2011      3         7         0.107     69900     
2011      3         22        0.222     92800     
2011      4         5         0.163     164000    
2011      4         21        0.136     228000    
2011      5         3         0.142     159000    
2011      5         19        0.121     122000    
2011      6         7         0.164     109000    
2011      6         21        0.16      81600     
2011      7         13        0.18      86500     
2011      8         16        0.232     90700     
2011      10        31        0.124     28800     
2011      11        28        0.106     29800     
2012      3         7         0.104     42100     
2012      3         28        0.175     65900     
2012      4         11        0.131     36800     
2012      4         30        0.166     55700     
2012      5         9         0.19      78000     
2012      5         30        0.193     62800     
2012      6         12        0.189     108000    
2012      6         26        0.179     89800     
2012      7         23        0.186     39200     
2012      8         20        0.197     23200     
2012      10        3         0.127     13700     
2012      12        3         0.0934    18000     
2013      2         27        0.0824    18000     
2013      3         7         0.0656    20200     
2013      3         25        0.24      35600     
2013      4         2         0.241     62300     
2013      4         17        0.36      141000    
2013      5         1         0.211     132000    
2013      5         13        0.156     157000    
2013      6         5         0.189     145000    
2013      6         20        0.17      105000    
2013      7         2         0.235     153000    
2013      7         16        0.174     98800     
2013      8         13        0.122     31900     
2013      10        28        0.132     39700     
2013      12        2         0.0717    27400     
2014      3         11        0.13      31000     
2014      3         24        0.313     61800     
2014      4         16        0.542     114000    
2014      4         29        0.169     133000    
2014      5         6         0.125     143000    
2014      5         19        0.128     155000    
2014      6         10        0.157     110000    
2014      6         23        0.39      153000    
2014      7         9         0.205     172000    
2014      7         21        0.163     93000     
2014      8         12        0.142     36000     
2014      9         18        0.176     97500     
2014      10        15        0.113     55400     
2014      12        2         0.0761    41200     
2015      2         9         0.0513    31500     
2015      3         9         0.0516    27400     
2015      3         24        0.0955    56800     
2015      4         6         0.0701    41200     
2015      4         20        0.175     69200     
2015      5         4         0.0954    38900     
2015      5         18        0.107     47600     
2015      6         1         0.117     83800     
2015      6         15        0.186     100000    
2015      7         6         0.123     56100     
2015      7         20        0.129     60500     
2015      8         10        0.0946    33800     
2015      11        16        0.11      45400     
2016      2         16        0.0689    34700     
2016      3         7         0.087     57500     
2016      3         21        0.149     91700     
2016      4         4         0.155     110000    
2016      4         18        0.0905    76700     
2016      5         9         0.14      88800     
2016      6         6         0.125     70600     
2016      6         20        0.19      82900     
2016      7         25        0.264     101000    
2016      8         8         0.183     81900     
2016      10        17        0.169     90600     
2016      11        14        0.106     63600     
2017      2         13        0.0836    61800     
2017      3         6         0.148     140000    
2017      3         20        0.105     84700     
2017      4         10        0.12      84500     
2017      4         24        0.151     119000    
2017      5         15        0.134     118000    
2017      5         30        0.145     166000    
2017      6         12        0.15      91800     
2017      6         26        0.219     105000    
2017      7         10        0.13      57700     
2017      7         27        0.311     107000    
2017      8         14        0.0583    45800     
2017      10        23        0.172     103000    
2017      12        4         0.113     47400     
2018      2         20        0.619     50300     
2018      3         7         0.23      46700     
2018      3         19        0.155     43900     
2018      4         10        0.189     64500     
2018      4         23        0.171     81600     
2018      5         7         0.188     172000    
2018      5         21        0.169     123000    
2018      6         4         0.149     70900     
2018      6         18        0.187     79000     
2018      7         9         0.185     121000    
2018      7         23        0.185     103000    
2018      8         6         0.146     60000     
2018      10        22        0.162     154000    
2018      12        3         0.136     62200     
