Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         4         0.0442    50500     
2008      1         14        0.0537    110000    
2008      1         16        0.0382    82000     
2008      2         6         0.0671    66500     
2008      2         9         0.156     203000    
2008      2         21        0.0461    97800     
2008      3         6         0.096     311000    
2008      3         9         0.142     217000    
2008      3         19        0.035     94500     
2008      3         24        0.0981    122000    
2008      4         3         0.0324    75500     
2008      5         6         0.0368    55900     
2008      6         2         0.029     26500     
2008      7         1         0.0317    11500     
2008      8         5         0.0294    12000     
2008      9         10        0.0326    8930      
2008      10        8         0.0367    10400     
2008      11        13        0.0365    15900     
2008      12        2         0.0317    28600     
2008      12        13        0.0926    79900     
2009      1         1         0.0603    90200     
2009      1         8         0.0319    54000     
2009      1         22        0.0251    22300     
2009      2         5         0.0247    25200     
2009      2         17        0.0466    78400     
2009      3         4         0.0224    39000     
2009      3         12        0.0389    130000    
2009      3         18        0.0431    47500     
2009      4         6         0.0418    65700     
2009      4         9         0.0431    56500     
2009      5         15        0.043     32900     
2009      6         3         0.0694    33300     
2009      7         8         0.0362    24200     
2009      8         5         0.0469    33800     
2009      9         2         0.0427    31000     
2009      10        7         0.0357    15800     
2009      10        27        0.0638    79700     
2009      11        4         0.0538    49900     
2009      12        2         0.0335    27900     
2009      12        28        0.0463    81500     
2010      1         7         0.0223    22300     
2010      1         22        0.0338    54300     
2010      1         26        0.0615    173000    
2010      1         27        0.39      288000    
2010      2         4         0.0457    50400     
2010      3         3         0.0261    27000     
2010      3         15        0.098     227000    
2010      3         17        0.108     188000    
2010      4         7         0.0371    58700     
2010      5         5         0.0263    39400     
2010      6         3         0.0335    19100     
2010      7         6         0.0334    9350      
2010      7         15        0.033     22500     
2010      8         3         0.0324    7540      
2010      9         1         0.0333    17100     
2010      10        3         0.124     101000    
2010      10        6         0.0727    61100     
2010      11        3         0.0351    24000     
2010      12        3         0.281     262000    
2010      12        7         0.0892    94100     
2011      1         6         0.0201    15300     
2011      1         19        0.0196    8110      
2011      2         3         0.0173    22400     
2011      2         17        0.033     26300     
2011      3         2         0.0427    115000    
2011      3         8         0.164     270000    
2011      3         12        0.872     414000    
2011      3         16        0.0845    164000    
2011      4         6         0.0287    71300     
2011      4         18        0.226     251000    
2011      4         30        0.288     318000    
2011      5         3         0.0792    144000    
2011      5         20        0.064     123000    
2011      6         2         0.0605    78800     
2011      7         6         0.0339    20200     
2011      8         3         0.0261    6120      
2011      8         30        0.0936    68700     
2011      8         31        0.0967    68100        
2011      9         10        0.727     493000    
2011      9         11        0.883     356000    
2011      9         12        0.354     227000    
2011      9         14        0.112     130000    
2011      9         21        0.0556    36000     
2011      9         29        0.148     188000    
2011      10        4         0.0774    125000    
2011      11        2         0.0379    64700     
