Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         8         0.14      245       
2008      1         23        0.082     28        
2008      2         5         0.087     67        
2008      2         19        0.078     23        
2008      3         4         0.092     20        
2008      3         18        0.2       127       
2008      4         8         0.071     29        
2008      4         22        0.084     51        
2008      5         6         0.098     14        
2008      5         13        0.1       13        
2008      5         20        0.25      35        
2008      5         28        0.13      19        
2008      6         3         0.47      123       
2008      6         10        0.13      12        
2008      6         17        0.14      7         
2008      6         24        0.13      5         
2008      7         1         0.13      9         
2008      7         8         0.15      6         
2008      7         15        0.17      4         
2008      7         22        0.16      4         
2008      7         29        0.15      4         
2008      8         5         0.15      4         
2008      8         12        0.16      4         
2008      8         19        0.16      11        
2008      8         26        0.16      10        
2008      9         3         0.13      5         
2008      9         9         0.15      3         
2008      9         16        0.18      3         
2008      9         23        0.14      8         
2008      9         30        0.14      3         
2008      10        7         0.16      22        
2008      10        21        0.17      11        
2008      10        22        0.144     6         
2008      10        28        0.12      3         
2008      11        4         0.34      181       
2008      11        5         0.157     32        
2008      11        11        0.15      59        
2008      11        19        0.127     10        
2008      11        25        0.13      15        
2008      12        3         0.129     17        
2008      12        9         0.11      10        
2009      1         6         0.11      98        
2009      1         7         0.132     138       
2009      1         21        0.0869    18        
2009      2         3         0.084     13        
2009      2         5         0.0736    12        
2009      2         12        0.089     18        
2009      2         18        0.071     12        
2009      3         3         0.16      65        
2009      3         4         0.0978    28        
2009      3         17        0.12      70        
2009      3         18        0.0898    43        
2009      4         7         0.075     18        
2009      4         8         0.0853    17        
2009      4         21        0.1       14        
2009      4         22        0.0997    13        
2009      5         5         0.32      331       
2009      5         6         0.189     149       
2009      5         12        0.13      23        
2009      5         19        0.24      56        
2009      5         20        0.119     23        
2009      5         27        0.13      10        
2009      6         2         0.15      7         
2009      6         3         0.148     7         
2009      6         9         0.16      8         
2009      6         16        0.15      7         
2009      6         17        0.148     6         
2009      6         23        0.16      7         
2009      6         30        0.16      4         
2009      7         7         0.15      4         
2009      7         8         0.156     3         
2009      7         14        0.15      7         
2009      7         21        0.16      3         
2009      7         22        0.167     3         
2009      7         28        0.18      3         
2009      8         4         0.17      2         
2009      8         5         0.169     3         
