Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         17        0.102     6550      
2008      2         14        0.0679    14100     
2008      2         28        0.067     33200     
2008      3         13        0.0519    30100     
2008      3         27        0.0699    15400     
2008      4         10        0.103     14600     
2008      4         24        0.09      8720      
2008      5         13        0.105     4630      
2008      6         19        0.113     2040      
2008      8         21        0.164     1790      
2008      10        22        0.145     1650      
2008      12        9         0.102     8050      
2009      1         8         0.0946    6760      
2009      2         4         0.0906    5720      
2009      2         18        0.098     4360      
2009      3         4         0.0969    9650      
2009      3         25        0.0692    16000     
2009      4         1         0.0749    24200     
2009      4         15        0.0807    70300     
2009      5         13        0.103     12000     
2009      6         10        0.0984    15900     
2009      8         6         0.0975    2120      
2009      10        20        0.0773    16500     
2009      12        14        0.0857    29400     
2010      1         20        0.0509    26600     
2010      2         3         0.0752    53900     
2010      2         17        0.0601    51500     
2010      3         3         0.052     26000     
2010      3         17        0.0569    28000     
2010      4         5         0.0717    16800     
2010      4         22        0.0788    10600     
2010      5         5         0.0841    7980      
2010      6         15        0.0902    7740      
2010      8         11        0.0825    4360      
2010      10        27        0.104     3700      
2010      12        7         0.0971    3360      
2011      1         4         0.088     4300      
2011      2         10        0.0907    13400     
2011      2         23        0.0475    18400     
2011      3         8         0.0646    10000     
2011      3         22        0.0596    13800     
2011      4         6         0.0741    18200     
2011      4         19        0.0758    12400     
2011      5         10        0.103     5340      
2011      6         22        0.116     1880      
2011      8         9         0.153     1640      
2011      10        11        0.132     1560      
2011      12        1         0.11      1950      
2012      1         12        0.104     3560      
2012      2         7         0.107     5400      
2012      2         22        0.115     3540      
2012      3         7         0.0925    10100     
2012      3         20        0.0791    8310      
2012      4         12        0.112     3650      
2012      4         26        0.111     2520      
2012      5         10        0.135     1840      
2012      6         19        0.13      3060      
2012      8         8         0.167     1610      
2012      10        10        0.122     1490      
2012      12        4         0.129     1300      
2013      1         23        0.12      4250      
2013      2         6         0.118     4380      
2013      2         20        0.0968    29500     
2013      3         5         0.059     55900     
2013      3         19        0.0435    19500     
2013      4         3         0.0587    31000     
2013      4         17        0.0956    18600     
2013      5         8         0.103     14800     
2013      5         21        0.101     23800     
2013      6         3         0.106     8230      
2013      7         24        0.094     38700     
2013      11        7         0.132     3260      
2013      12        4         0.074     4570      
2014      1         9         0.0752    37100     
2014      2         6         0.0526    12100     
2014      2         19        0.0651    28600     
2014      3         6         0.05      23500     
2014      3         20        0.0492    18100     
2014      4         10        0.0689    19600     
2014      4         24        0.0738    47500     
2014      5         8         0.0896    17100     
2014      5         22        0.0831    15500     
2014      6         24        0.0942    5680      
2014      7         16        0.0774    3160      
2014      7         31        0.0985    6410      
2014      10        22        0.106     3190      
2014      12        10        0.0729    5230      
2015      1         13        0.0505    23500     
2015      2         10        0.0437    14900     
2015      2         24        0.0393    11800     
2015      3         11        0.0543    31900     
2015      3         26        0.0717    15800     
2015      4         7         0.0761    14000     
2015      4         22        0.0873    21500     
2015      5         6         0.0753    33500     
2015      5         20        0.0941    5890      
2015      6         1         0.106     4720      
2015      7         8         0.0769    3830      
2015      7         22        0.121     2890      
2015      8         5         0.114     2900      
2015      10        21        0.0922    5680      
2015      12        8         0.0583    13500     
2016      1         6         0.0888    87600     
2016      2         2         0.0722    27200     
2016      2         23        0.0677    25400     
2016      3         10        0.0736    23700     
2016      3         22        0.0883    16000     
2016      4         7         0.101     24200     
2016      4         26        0.0866    11900     
2016      5         10        0.0962    7100      
2016      5         24        0.11      7030      
2016      6         9         0.0893    7400      
2016      7         27        0.0991    2230      
2016      8         24        0.119     2020      
2016      10        19        0.0868    1820      
2016      12        6         0.124     1940      
2017      1         19        0.0587    24900     
2017      2         7         0.0484    24500     
2017      2         23        0.0622    12700     
2017      3         9         0.0775    8240      
2017      3         23        0.0775    7250      
2017      4         6         0.0863    5860      
2017      5         4         0.0965    6380      
2017      5         22        0.11      3520      
2017      6         20        0.103     6240      
2017      7         19        0.0958    8220      
2017      8         23        0.0998    5830      
2017      9         19        0.0677    12900     
2017      10        25        0.0956    3040      
2017      12        13        0.0844    6190      
2018      1         29        0.0733    4840      
2018      2         14        0.0588    17300     
2018      2         26        0.0558    15800     
2018      3         8         0.0749    8240      
2018      3         21        0.068     8850      
2018      4         3         0.057     10300     
2018      4         18        0.088     6970      
2018      5         9         0.078     11700     
2018      5         30        0.078     12300     
2018      6         12        0.0908    24700     
2018      7         24        0.0936    11000     
2018      8         21        0.0859    12100     
2018      10        24        0.0831    6880      
2018      12        12        0.054     34200     
