Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         10        0.168     26600     
2008      1         30        0.284     41000     
2008      2         6         0.285     37200     
2008      2         20        0.0864    16400     
2008      3         11        0.0576    13600     
2008      4         24        0.0434    9860      
2008      5         5         0.0637    6980      
2008      6         18        0.0593    10800     
2008      8         5         0.0436    10700     
2008      10        29        0.0593    7480      
2008      12        9         0.0655    7580      
2008      12        22        0.0797    8320      
2009      1         6         0.0801    9170      
2009      1         26        0.0733    10400     
2009      2         5         0.123     8910      
2009      2         25        0.273     42700     
2009      3         24        0.074     14000     
2009      4         21        0.0437    13200     
2009      5         21        0.0553    13200     
2009      6         24        0.0525    10800     
2009      8         26        0.0647    14200     
2009      11        18        0.057     8690      
2009      12        3         0.0569    8440      
2009      12        16        0.0883    12600     
2010      1         14        0.0957    12400     
2010      1         27        0.168     50500     
2010      2         3         0.118     32100     
2010      2         16        0.116     26500     
2010      3         4         0.12      29200     
2010      4         6         0.0444    14800     
2010      5         19        0.0367    14200     
2010      6         17        0.0373    18700     
2010      8         5         0.0454    18200     
2010      10        26        0.0671    14700     
2010      11        9         0.0464    11900     
2010      12        15        0.0833    35900     
2010      12        28        0.109     63900     
2011      1         11        0.0712    35400     
2011      1         26        0.0539    23000     
2011      2         10        0.0609    18500     
2011      2         22        0.0958    34600     
2011      3         15        0.0749    40900     
2011      4         20        0.046     39600     
2011      5         12        0.037     34800     
2011      5         23        0.0571    38300     
2011      6         7         0.0693    42200     
2011      6         23        0.0539    38800     
2011      7         5         0.0661    31800     
2011      7         28        0.0454    16000     
2011      8         10        0.0534    14800     
2011      9         8         0.0725    21000     
2011      10        25        0.0415    13700     
2011      12        8         0.0554    15500     
2011      12        29        0.0534    11800     
2012      1         5         0.0574    10900     
2012      1         18        0.0504    11100     
2012      2         9         0.0944    13600     
2012      2         23        0.0633    12100     
2012      3         15        0.0718    16100     
2012      4         18        0.0799    25700     
2012      5         17        0.0379    9700      
2012      6         12        0.0524    12000     
2012      8         7         0.0494    23000     
2012      10        18        0.039     9200      
2012      12        4         0.246     57700     
2012      12        19        0.095     30100     
2013      1         8         0.082     26100     
2013      1         22        0.057     17400     
2013      2         5         0.047     17700     
2013      2         19        0.037     14300     
2013      3         12        0.037     14800     
2013      4         11        0.067     15600     
2013      5         16        0.045     10900     
2013      5         30        0.039     13600     
2013      6         4         0.062     10800     
2013      6         26        0.049     15800     
2013      7         29        0.043     17300     
2013      8         12        0.039     17200     
2013      10        23        0.039     6650      
2013      12        6         0.039     7860      
2014      1         22        0.195     5370      
2014      1         28        0.046     5320      
2014      2         13        0.131     20000     
2014      2         20        0.083     9780      
2014      3         20        0.061     8320      
2014      4         15        0.061     8140      
2014      5         13        0.043     5100      
2014      5         28        0.041     7090      
2014      6         3         0.048     8380      
2014      6         30        0.037     9770      
2014      7         24        0.051     10100     
2014      8         13        0.035     8540      
2014      10        16        0.036     6150      
2014      12        9         0.13      23100     
2015      1         14        0.047     10100     
2015      1         27        0.054     9520      
2015      2         20        0.083     15400     
2015      2         25        0.052     12300     
2015      3         16        0.037     7950      
2015      4         27        0.061     6850      
2015      5         8         0.051     6970      
2015      5         19        0.039     8210      
2015      6         4         0.048     7150      
2015      6         16        0.048     6450      
2015      8         31        0.048     8500      
2015      10        29        0.045     6630      
2015      12        9         0.05      7730      
2016      1         14        0.083     14800     
2016      1         27        0.13      45100     
2016      2         10        0.088     18500     
2016      2         24        0.052     20700     
2016      3         30        0.096     40600     
2016      4         20        0.04      16900     
2016      5         12        0.054     15500     
2016      5         26        0.038     16100     
2016      6         9         0.038     13600     
2016      6         22        0.047     16100     
2016      7         28        0.02      19100     
2016      8         10        0.043     19600     
2016      10        19        0.063     11200     
2016      12        7         0.048     13800     
2017      1         17        0.11      78500     
2017      1         26        0.11      71100     
2017      2         10        0.17      94000     
2017      2         24        0.082     80900     
2017      3         9         0.087     66100     
2017      5         17        0.064     52700     
2017      5         23        0.077     39500     
2017      6         7         0.036     39400     
2017      6         22        0.034     18500     
2017      7         20        0.03      15200     
2017      8         21        0.048     20600     
2017      10        19        0.039     11600     
2017      12        7         0.045     15100     
2018      1         17        0.1       17400     
2018      1         31        0.068     17800     
2018      2         14        0.058     13200     
2018      2         28        0.048     12200     
2018      3         28        0.068     40000     
2018      4         19        0.051     25100     
2018      5         10        0.028     10300     
2018      5         30        0.065     14300     
2018      6         14        0.039     10700     
2018      7         12        0.037     15700     
2018      8         8         0.06      20100     
2018      8         20        0.05      17200     
