Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         9         0.49      188000    
2008      3         10        0.47      198000    
2008      3         26        0.47      239000    
2008      4         9         0.31      223000    
2008      5         12        0.22      320000    
2008      6         9         0.41      296000    
2008      6         20        0.31      408000    
2008      7         21        0.27      227000    
2008      8         11        0.26      138000    
2008      9         15        0.73      278000    
2008      10        20        0.216     102000    
2008      11        12        0.179     89500     
2008      12        8         0.174     53200     
2009      1         20        0.199     64800     
2009      2         9         0.131     58100     
2009      3         17        0.53      313000    
2009      4         7         0.259     243000    
2009      5         5         0.322     323000    
2009      6         9         0.229     173000    
2009      7         20        0.252     73200     
2009      8         25        0.231     97500     
2009      9         9         0.245     69400     
2009      10        6         0.189     79000     
2009      11        3         0.435     330000    
2009      12        2         0.181     146000    
2010      1         26        0.541     254000    
2010      2         25        0.215     114000    
2010      3         17        0.492     300000    
2010      4         7         0.276     298000    
2010      5         4         0.318     212000    
2010      6         9         0.369     233000    
2010      7         21        0.423     304000    
2010      8         10        0.292     275000    
2010      8         31        0.288     213000    
2010      10        26        0.203     114000    
2010      11        8         0.274     127000    
2010      12        7         0.182     67300     
2011      1         18        0.24      94300     
2011      2         16        0.178     90500     
2011      3         9         0.393     207000    
2011      4         11        0.228     252000    
2011      5         11        0.156     299000    
2011      6         8         0.241     291000    
2011      7         13        0.236     202000    
2011      8         3         0.265     211000    
2011      9         14        0.166     45700     
2011      10        5         0.166     46600     
2011      11        2         0.147     39700     
2011      12        7         0.181     60200     
2012      1         24        0.145     43600     
2012      2         8         0.19      68000     
2012      3         14        0.171     99000     
2012      4         4         0.178     100000    
2012      5         2         0.314     147000    
2012      6         6         0.178     111000    
2012      7         25        0.19      36500     
2012      8         22        0.212     29600     
2012      9         12        0.251     13400     
2012      10        3         0.215     21700     
2012      11        7         0.147     40100     
2012      12        5         0.107     35100     
2013      1         23        0.15      31500     
2013      2         6         0.227     66400     
2013      3         13        0.79      252000    
2013      4         3         0.244     136000    
2013      5         8         0.261     392000    
2013      6         3         0.371     423000    
2013      7         10        0.232     321000    
2013      8         14        0.136     49800     
2013      9         11        0.169     33000     
2013      10        30        0.157     56300     
2013      11        20        0.115     63900     
2013      12        4         0.12      44200     
2014      3         12        0.358     123000    
2014      3         19        0.562     168000    
2014      4         9         0.362     140000    
2014      4         23        0.375     209000    
2014      5         7         0.302     218000    
2014      5         20        0.252     266000    
2014      6         4         0.248     216000    
2014      6         17        0.259     195000    
2014      7         9         0.267     363000    
2014      8         6         0.189     93600     
2014      9         17        0.441     215000    
2014      10        8         0.31      136000    
2014      11        19        0.15      65400     
2014      12        3         0.21      92100     
2015      3         18        0.44      140000    
2015      3         31        0.19      102000    
2015      4         8         0.2       84700     
2015      4         22        0.22      124000    
2015      5         6         0.16      96300     
2015      5         20        0.21      111000    
2015      6         10        0.38      217000    
2015      6         22        0.4       363000    
2015      7         8         0.27      284000    
2015      8         5         0.24      162000    
2015      9         2         0.2       86000     
2015      10        7         0.19      54600     
2015      11        4         0.15      85400     
2015      12        1         0.56      249000    
2016      1         6         0.27      332000    
2016      2         1         0.16      145000    
2016      3         7         0.21      142000    
2016      4         4         0.21      242000    
2016      4         18        0.15      190000    
2016      5         2         0.21      142000    
2016      5         16        0.27      219000    
2016      6         20        0.24      197000    
2016      7         26        0.13      194000    
2016      8         1         0.31      183000    
2016      9         6         0.32      205000    
2016      10        3         0.36      240000    
2016      11        7         0.25      169000    
2016      12        12        0.17      147000    
2017      1         17        0.12      112000    
2017      2         13        0.2       106000    
2017      3         13        0.25      212000    
2017      4         3         0.34      209000    
2017      4         17        0.18      232000    
2017      5         2         0.36      345000    
2017      5         10        0.19      350000    
2017      5         15        0.22      316000    
2017      6         6         0.19      302000    
2017      7         11        0.2       140000    
2017      8         15        0.11      89000     
2017      9         11        0.14      81900     
2017      10        11        0.23      96500     
2017      11        13        0.13      94200     
2017      12        12        0.11      56000     
2018      2         20        0.26      72700     
2018      3         5         0.61      200000    
2018      4         2         0.29      167000    
2018      4         17        0.2       130000    
2018      5         7         0.28      217000    
2018      6         4         0.22      143000    
2018      7         9         0.28      270000    
2018      9         4         0.33      142000    
2018      10        2         0.33      210000    
2018      12        19        0.13      150000    
