Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         7         0.153     226000    
2008      1         23        0.231     288000    
2008      2         19        0.23      760000    
2008      2         25        0.238     525000    
2008      3         11        0.38      692000    
2008      3         24        0.285     927000    
2008      4         14        0.176     921000    
2008      5         5         0.159     383000    
2008      6         30        0.11      175000    
2008      8         5         0.081     89200     
2008      11        5         0.0621    32900     
2008      12        10        0.0807    98100     
2009      1         14        0.296     587000    
2009      1         30        0.129     284000    
2009      2         12        0.264     413000    
2009      2         25        0.234     343000    
2009      3         11        0.144     216000    
2009      3         25        0.11      281000    
2009      4         9         0.207     514000    
2009      5         14        0.202     792000    
2009      6         3         0.154     240000    
2009      8         26        0.0963    120000    
2009      11        5         0.219     315000    
2009      12        10        0.154     405000    
2010      1         6         0.129     297000    
2010      1         28        0.235     747000    
2010      2         11        0.194     728000    
2010      3         4         0.112     275000    
2010      3         17        0.161     487000    
2010      3         31        0.168     526000    
2010      4         21        0.0877    128000    
2010      5         26        0.184     392000    
2010      6         16        0.178     274000    
2010      8         4         0.0808    89900     
2010      10        20        0.0691    57500     
2010      12        16        0.113     193000    
2011      1         5         0.156     285000    
2011      1         20        0.0783    120000    
2011      2         9         0.252     268000    
2011      2         24        0.215     271000    
2011      3         9         0.276     836000    
2011      3         30        0.158     652000    
2011      5         3         0.192     1220000   
2011      5         17        0.124     893000    
2011      5         25        0.181     559000    
2011      5         31        0.182     510000    
2011      6         15        0.107     158000    
2011      6         28        0.159     309000    
2011      8         15        0.096     102000    
2011      10        27        0.121     192000    
2011      12        7         0.211     780000    
2012      1         11        0.123     279000    
2012      1         25        0.297     638000    
2012      2         8         0.168     629000    
2012      2         23        0.0948    257000    
2012      3         7         0.219     472000    
2012      3         21        0.162     416000    
2012      4         18        0.0644    94600     
2012      5         23        0.0854    88900     
2012      6         6         0.0672    94100     
2012      8         28        0.0687    62100     
2012      11        7         0.162     211000    
2012      12        5         0.0652    93000     
2013      1         9         0.105     269000    
2013      1         30        0.19      394000    
2013      2         12        0.206     547000    
2013      3         1         0.118     296000    
2013      3         13        0.126     475000    
2013      3         27        0.291     486000    
2013      4         26        0.217     464000    
2013      4         30        0.207     625000    
2013      5         29        0.0878    186000    
2013      6         12        0.124     309000    
2013      7         29        0.124     240000    
2013      8         12        0.101     190000    
2013      10        28        0.0925    95900     
2013      12        2         0.197     234000    
2014      1         15        0.2       453000    
2014      1         31        0.0609    174000    
2014      2         12        0.288     642000    
2014      2         24        0.325     507000    
2014      3         13        0.165     335000    
2014      3         26        0.133     228000    
2014      4         14        0.245     686000    
2014      4         30        0.278     461000    
2014      5         28        0.2       282000    
2014      6         25        0.0969    178000    
2014      7         9         0.0798    105000    
2014      8         14        0.0939    117000    
2014      10        29        0.103     157000    
2014      12        17        0.243     278000    
2015      1         14        0.178     322000    
2015      1         27        0.0876    244000    
2015      2         11        0.105     254000    
2015      2         25        0.13      450000    
2015      3         12        0.438     879000    
2015      3         23        0.182     972000    
2015      4         6         0.312     526000    
2015      4         20        0.185     791000    
2015      5         4         0.145     285000    
2015      6         1         0.0406    133000    
2015      7         15        0.189     517000    
2015      8         3         0.126     159000    
2015      10        21        0.0525    71800     
2015      12        15        0.119     312000    
2016      1         6         0.273     792000    
2016      1         18        0.165     468000    
2016      1         19        0.19      425000    
2016      2         3         0.115     402000    
2016      2         23        0.185     598000    
2016      3         16        0.198     539000    
2016      3         28        0.132     213000    
2016      4         12        0.132     217000    
2016      4         25        0.114     212000    
2016      5         23        0.131     283000    
2016      6         14        0.0472    106000    
2016      7         25        0.0821    136000    
2016      8         8         0.0861    168000    
2016      10        19        0.0695    54700     
2016      12        7         0.0782    213000    
2017      1         3         0.359     384000    
2017      1         18        0.156     479000    
2017      2         1         0.261     609000    
2017      2         22        0.118     231000    
2017      3         8         0.569     551000    
2017      3         21        0.104     227000    
2017      4         4         0.177     410000    
2017      4         19        0.17      304000    
2017      5         8         0.25      536000    
2017      6         19        0.13      207000    
2017      7         17        0.147     264000    
2017      8         7         0.119     108000    
2017      10        17        0.0962    156000    
2017      12        12        0.0962    150000    
2018      1         2         0.165     274000    
2018      2         6         0.164     284000    
2018      2         21        0.387     946000    
2018      2         28        0.31      1100000   
2018      3         21        0.151     405000    
2018      4         10        0.265     846000    
2018      4         24        0.195     689000    
2018      5         8         0.0987    268000    
2018      6         4         0.119     340000    
2018      7         10        0.101     169000    
2018      8         6         0.104     150000    
2018      10        9         0.152     281000    
2018      12        10        0.207     592000    
