Year    Month   Day     Conc_mg/l Q_cfs           
2008      1         30        0.756     328       
2008      2         22        0.557     1220      
2008      3         12        0.741     793       
2008      4         3         0.718     1620      
2008      5         20        0.686     546       
2008      6         16        0.581     848       
2008      7         9         0.952     298       
2008      8         28        0.572     729       
2008      10        1         0.734     443       
2008      10        20        0.775     358       
2008      11        24        1.76      88        
2008      12        29        1.09      173       
2009      2         9         1.56      107       
2009      2         23        0.733     225       
2009      3         31        0.9       505       
2009      4         14        0.522     809       
2009      5         12        1.19      644       
2009      6         2         0.702     352       
2009      7         15        1.97      91        
2009      8         12        0.684     902       
2009      9         29        1.64      99        
2009      10        26        1.48      147       
2009      11        19        0.692     419       
2009      12        16        1.13      138       
2010      1         13        1.46      196       
2010      2         16        0.663     413       
2010      3         11        0.392     359       
2010      4         27        0.599     278       
2010      5         19        0.78      478       
2010      6         9         0.554     397       
2010      7         14        0.745     1180      
2010      9         2         0.99      145       
2010      9         21        1.43      130       
2010      10        27        1.2       103       
2010      11        23        1.56      84        
2010      12        15        0.809     150       
2011      1         25        1.23      145       
2011      2         14        0.796     201       
2011      3         22        1.88      87        
2011      5         3         0.896     199       
2011      5         17        1.1       96        
2011      6         21        1.58      89        
2011      7         27        1.94      63        
2011      9         1         0.812     295       
2011      9         26        1.23      72        
2011      10        6         2.82      72        
2011      11        28        0.776     145       
2011      12        12        1.64      94        
2012      1         9         2.16      81        
2012      1         24        1.67      92        
2012      2         28        1.56      113       
2012      3         13        0.873     257       
2012      3         20        1.01      4270      
2012      4         17        0.88      268       
2012      5         31        0.766     1030      
2012      6         14        1.54      65        
2012      6         27        1.46      116       
2012      7         11        2.28      80        
2012      8         22        2.34      107       
2012      8         26        1.7       299       
2012      9         17        3.13      99        
2012      10        11        1.0       106       
2012      10        31        3.27      59        
2012      11        13        0.928     175       
2012      11        19        2.57      59        
2012      12        5         0.554     160       
2013      1         8         1.31      66        
2013      1         28        1.93      54        
2013      2         5         1.94      66        
2013      2         25        1.42      130       
2013      3         26        2.18      49        
2013      3         28        2.03      47        
2013      4         24        0.718     347       
2013      4         25        1.02      153       
2013      5         7         1.39      132       
2013      5         23        0.66      1640      
2013      5         29        0.922     232       
2013      5         30        1.06      1000      
2013      6         12        0.597     668       
2013      6         19        0.559     723       
2013      6         26        0.776     245       
2013      6         27        0.764     255       
2013      7         9         1.32      178       
2013      7         17        1.1       1130      
2013      7         30        1.1       1060      
2013      8         6         1.29      195       
2013      8         20        1.27      403       
2013      9         3         1.76      102       
2013      9         19        0.901     164       
2013      10        23        1.59      144       
2013      11        18        1.33      161       
2013      11        19        1.2       130       
2013      12        18        2.05      173       
2013      12        19        0.92      575       
2014      1         14        2.16      106       
2014      1         29        2.95      95        
2014      2         18        1.72      115       
2014      2         25        2.2       129       
2014      3         6         1.52      132       
2014      3         18        0.916     236       
2014      4         2         2.57      122       
2014      4         8         1.29      236       
2014      5         6         2.72      74        
2014      5         15        2.51      129       
2014      5         20        1.2       111       
2014      5         21        1.76      105       
2014      6         4         2.35      193       
2014      6         10        0.673     814       
2014      6         17        1.09      156       
2014      6         24        0.677     1790      
2014      7         2         1.83      102       
2014      7         8         1.59      78        
2014      7         22        1.03      196       
2014      8         12        0.991     127       
2014      8         19        1.27      90        
2014      8         20        1.19      143       
2014      9         2         1.82      50        
2014      9         24        1.9       85        
2014      10        15        0.54      305       
2014      10        28        1.22      50        
2014      11        12        1.9       75        
2014      11        19        2.04      75        
2014      12        4         2.24      75        
2014      12        9         1.75      73        
2015      1         13        1.82      74        
2015      1         21        2.23      69        
2015      2         3         0.77      152       
2015      2         4         1.12      123       
2015      3         3         1.3       112       
2015      3         5         1.41      81        
2015      4         6         0.85      169       
2015      4         8         1.36      144       
2015      5         4         0.82      119       
2015      5         12        0.825     1190      
2015      5         19        0.73      619       
2015      5         26        1.02      7520      
2015      6         2         0.64      965       
2015      6         3         0.6       773       
2015      6         16        0.66      2090      
2015      6         30        0.34      243       
2015      7         8         0.687     2730      
2015      7         15        0.43      316       
2015      7         22        0.57      992       
2015      8         6         2.09      239       
2015      8         18        1.52      136       
2015      8         26        1.59      136       
2015      9         1         1.87      143       
2015      9         3         1.85      132       
2015      10        5         1.86      110       
2015      10        7         3.64      141       
2015      11        2         0.579     268       
2015      11        3         0.97      217       
2015      11        30        0.644     613       
2015      12        2         0.94      305       
2016      1         5         0.76      394       
2016      1         6         0.799     380       
2016      2         1         0.69      127       
2016      3         7         1.3       149       
2016      4         5         1.52      81        
2016      5         4         0.75      322       
2016      5         5         0.926     233       
2016      5         12        0.8       147       
2016      5         18        0.7       886       
2016      6         2         0.69      644       
2016      6         6         0.714     239       
2016      6         7         0.94      217       
2016      6         16        0.71      151       
2016      7         7         2.47      137       
2016      7         12        2.03      148       
2016      7         14        1.65      153       
2016      8         9         1.91      98        
2016      8         10        2.73      91        
2016      8         24        2.83      101       
2016      9         1         1.35      544       
2016      9         19        0.631     539       
2016      10        4         1.6       116       
2016      10        19        2.91      85        
2016      11        8         1.6       79        
2016      12        6         0.91      99        
2016      12        14        1.28      53        
2017      1         5         1.58      53        
2017      1         24        1.65      96        
2017      2         7         1.05      88        
2017      2         13        1.16      84        
2017      3         7         1.55      130       
2017      3         8         1.4       165       
2017      4         3         0.888     752       
2017      4         12        1.8       82        
2017      5         3         0.93      3290      
2017      5         10        0.786     648       
2017      5         16        0.67      492       
2017      5         30        0.63      356       
2017      6         6         0.5       1460      
2017      6         12        0.57      171       
2017      6         26        1.58      85        
2017      7         3         1.47      309       
2017      7         6         0.81      461       
2017      7         24        2.1       84        
2017      8         7         0.92      509       
2017      8         10        1.5       131       
2017      8         22        1.42      282       
2017      9         5         1.23      163       
2017      9         6         1.75      141       
2017      10        10        0.877     934       
