Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         23        0.17      9800      
2008      2         20        0.246     19500     
2008      3         19        0.413     52100     
2008      4         9         0.147     50600     
2008      5         8         0.239     20400     
2008      5         14        0.17      39300     
2008      5         28        0.194     18300     
2008      6         3         0.181     16800     
2008      6         11        0.317     128000    
2008      6         25        0.214     15400     
2008      7         1         0.224     15700     
2008      7         9         0.22      21000     
2008      7         23        0.197     12000     
2008      8         6         0.15      8850      
2008      8         20        0.178     6100      
2008      8         27        0.0909    5300      
2008      9         3         0.139     4610      
2008      10        16        0.189     1730      
2008      11        19        0.219     2200      
2008      12        17        0.182     3640      
2009      1         21        0.14      4650      
2009      2         18        0.291     55200     
2009      3         18        0.158     10200     
2009      4         15        0.177     42000     
2009      5         6         0.165     40600     
2009      5         13        0.199     27100     
2009      5         19        0.163     72600     
2009      6         3         0.213     15100     
2009      6         10        0.206     12600     
2009      6         24        0.268     23100     
2009      7         8         0.272     10300     
2009      7         15        0.177     8210      
2009      7         22        0.308     6700      
2009      8         5         0.252     14200     
2009      8         12        0.231     28200     
2009      8         19        0.105     7710      
2009      9         2         0.11      3940      
2009      10        28        0.311     16100     
2009      11        24        0.164     7810      
2009      12        15        0.358     27300     
2010      1         27        0.299     27200     
2010      2         17        0.09      8300      
2010      3         18        0.269     23800     
2010      4         14        0.248     24700     
2010      5         5         0.261     26000     
2010      5         12        0.192     12900     
2010      5         25        0.278     21400     
2010      6         2         0.194     11100     
2010      6         9         0.22      9610      
2010      6         23        0.206     47800     
2010      7         7         0.253     13600     
2010      7         14        0.199     9150      
2010      7         28        0.192     7820      
2010      8         4         0.127     4810      
2010      8         18        0.127     3150      
2010      8         25        0.136     2590      
2010      9         2         0.142     2060      
2010      10        28        0.225     1370      
2010      11        29        0.389     6780      
2010      12        15        0.174     3050      
2011      1         19        0.151     4170      
2011      2         23        0.441     18400     
2011      3         7         0.316     69000     
2011      3         15        0.208     70000     
2011      4         20        0.202     35300     
2011      5         3         0.297     132000    
2011      5         18        0.327     19500     
2011      5         25        0.202     16400     
2011      6         9         0.268     14500     
2011      6         15        0.267     14800     
2011      6         20        0.271     19600     
2011      7         6         0.237     13900     
2011      7         20        0.141     7410      
2011      7         27        0.151     4720      
2011      8         3         0.153     3320      
2011      8         15        0.145     2950      
2011      8         31        0.14      1850      
2011      9         21        0.127     1600      
2011      10        26        0.294     4440      
2011      11        16        0.18      4270      
2011      12        8         0.2       55500     
2012      1         18        0.298     22200     
2012      2         16        0.107     13000     
2012      3         15        0.151     14500     
2012      4         18        0.176     14800     
2012      5         17        0.195     9800      
2012      5         23        0.168     5690      
2012      5         29        0.15      4100      
2012      6         6         0.201     3860      
2012      6         20        0.13      2430      
2012      6         27        0.14      2010      
2012      7         12        0.123     2180      
2012      7         17        0.122     1650      
2012      7         24        0.135     1590      
2012      8         6         0.148     1370      
2012      8         15        0.192     2030      
2012      8         24        0.143     1650      
2012      9         5         0.153     1940      
2012      10        17        0.168     2650      
2012      11        15        0.123     3320      
2012      12        12        0.272     4860      
2013      1         16        0.327     61000     
2013      2         13        0.163     17000     
2013      3         6         0.19      20400     
2013      4         9         0.239     9010      
2013      5         7         0.253     26000     
2013      5         22        0.226     13500     
2013      5         29        0.144     8760      
2013      6         5         0.292     18700     
2013      6         11        0.205     11100     
2013      6         27        0.783     26500     
2013      7         9         0.204     12400     
2013      7         25        0.195     5950      
2013      8         14        0.149     2810      
2013      8         28        0.157     1790      
2013      9         23        0.118     1890      
2013      10        24        0.141     2070      
2013      11        19        0.349     6180      
2013      12        17        0.209     6340      
2014      1         14        0.248     30600     
2014      2         20        0.388     15600     
2014      3         20        0.194     13500     
2014      4         16        0.173     40000     
2014      5         7         0.145     14200     
2014      5         14        0.524     13300     
2014      6         10        0.271     20400     
2014      6         20        0.18      9960      
2014      6         30        0.232     11400     
2014      7         16        0.3       9220      
2014      7         23        0.145     4410      
2014      8         6         0.156     3910      
2014      8         20        0.209     3320      
2014      9         10        0.186     4220      
2014      10        8         0.15      3130      
2014      11        6         0.11      4010      
2014      12        4         0.2       11200     
2015      1         21        0.12      10500     
2015      2         25        0.11      5430      
2015      3         25        0.17      24200     
2015      4         22        0.24      31000     
2015      5         5         0.16      13800     
2015      5         14        0.17      11400     
2015      5         28        0.13      7490      
2015      6         4         0.37      10700     
2015      6         11        0.25      8430      
2015      6         23        0.19      42400     
2015      7         8         0.21      32600     
2015      7         28        0.2       31700     
2015      8         10        0.18      11400     
2015      8         27        0.15      6470      
2015      9         16        0.084     2820      
2015      10        13        0.1       1910      
2015      11        12        0.12      3950      
2015      12        8         0.13      7100      
2016      1         7         0.18      58000     
2016      2         18        0.082     7860      
2016      3         17        0.18      36700     
2016      4         13        0.26      27500     
2016      5         4         0.19      30100     
2016      5         11        0.15      19400     
2016      5         24        0.12      13000     
2016      6         3         0.13      9010      
2016      6         15        0.23      7380      
2016      6         29        0.22      12500     
2016      7         13        0.18      9620      
2016      7         27        0.054     7800      
2016      8         18        0.27      28800     
2016      8         29        0.36      14300     
2016      9         14        0.31      15100     
2016      10        12        0.13      4540      
2016      11        10        0.13      4370      
2016      12        8         0.16      9690      
2017      1         26        0.24      43200     
2017      2         22        0.093     7430      
2017      3         16        0.14      16500     
2017      4         13        0.18      16300     
2017      5         3         0.26      33300     
2017      5         10        0.17      92100     
2017      5         24        0.27      22000     
2017      6         13        0.16      9850      
2017      6         20        0.32      21700     
2017      6         29        0.28      25800     
2017      7         13        0.42      20500     
2017      7         26        0.28      19000     
2017      8         17        0.11      4470      
2017      8         30        0.13      3160      
2017      9         21        0.099     2480      
2017      10        12        0.19      3510      
2017      11        15        0.26      15000     
2017      12        12        0.11      5090      
2018      1         11        0.22      4480      
2018      2         13        0.066     6880      
2018      3         5         0.19      84600     
2018      4         17        0.19      25200     
2018      5         7         0.11      12600     
2018      5         17        0.12      9750      
2018      5         30        0.16      7750      
2018      6         6         0.13      9670      
2018      7         12        0.13      5750      
2018      7         24        0.15      3730      
2018      7         31        0.12      3650      
2018      8         8         0.15      4630      
2018      8         15        0.17      4090      
2018      8         29        0.17      5910      
2018      9         13        0.25      28400     
2018      10        25        0.067     4140      
2018      11        19        0.12      12900     
2018      12        13        0.11      12300     
