Year    Month   Day     Conc_mg/l Q_cfs     
2008      3         12        0.6       18200     
2008      4         7         0.411     20600     
2008      5         12        0.52      30600     
2008      6         13        0.364     68200     
2008      6         16        0.353     105000    
2008      6         23        0.358     64800     
2008      7         14        0.246     31000     
2008      8         11        0.22      19700     
2008      9         10        0.18      2320      
2008      10        27        0.24      9710      
2008      12        1         0.194     5860      
2009      1         26        0.249     3220      
2009      3         10        0.845     37600     
2009      4         13        0.233     10300     
2009      5         14        0.194     20400     
2009      5         28        0.596     14400     
2009      6         8         0.889     17400     
2009      6         23        0.506     18700     
2009      7         7         0.224     19700     
2009      7         23        0.24      8990      
2009      8         4         0.159     3540      
2009      8         19        0.309     5510      
2009      9         1         0.205     8290      
2009      10        7         0.191     3110      
2009      11        3         0.233     20500     
2009      12        2         0.208     9840      
2010      1         6         0.218     5150      
2010      2         2         0.232     7350      
2010      3         4         0.219     4100      
2010      4         7         0.4       32600     
2010      5         5         0.184     24600     
2010      5         18        0.346     28500     
2010      6         2         0.311     31000     
2010      6         14        0.759     41600     
2010      7         8         0.22      62100     
2010      7         21        0.52      69300     
2010      8         2         0.24      47500     
2010      8         17        0.226     50800     
2010      9         2         0.232     38600     
2010      10        6         0.238     16800     
2010      11        4         0.226     6860      
2010      12        2         0.162     7230      
2011      1         5         0.199     3740      
2011      2         4         0.257     2230      
2011      3         1         0.384     12200     
2011      3         15        0.309     8400      
2011      4         4         0.287     12900     
2011      4         18        0.35      22300     
2011      5         4         0.182     12000     
2011      5         26        0.878     44500     
2011      6         8         0.19      23800     
2011      6         22        0.468     26900     
2011      7         5         0.227     31600     
2011      7         22        0.164     33900     
2011      8         4         0.119     24600     
2011      8         17        0.194     4820      
2011      9         1         0.228     1500      
2011      10        17        0.323     373       
2011      11        14        0.374     590       
2011      12        12        0.318     1230      
2012      1         4         0.403     1260      
2012      2         8         0.502     1410      
2012      3         5         0.322     4380      
2012      3         21        0.427     2540      
2012      4         2         0.322     6110      
2012      4         25        0.297     6210      
2012      5         3         0.501     9020      
2012      5         17        0.249     7250      
2012      6         5         0.241     5690      
2012      6         21        0.234     4450      
2012      7         6         0.177     1690      
2012      7         17        0.126     509       
2012      8         8         0.254     476       
2012      8         21        0.291     385       
2012      9         6         0.392     348       
2012      10        17        0.697     635       
2012      11        15        0.659     768       
2012      12        17        0.574     414       
2013      1         8         0.378     469       
2013      2         12        0.682     1440      
2013      3         12        0.991     16600     
2013      3         25        0.435     3620      
2013      4         8         0.515     3470      
2013      4         24        0.616     14400     
2013      5         6         0.437     21200     
2013      5         23        0.208     18700     
2013      6         11        0.305     23800     
2013      6         27        0.296     24600     
2013      7         8         0.246     23200     
2013      7         25        0.146     11500     
2013      8         12        0.214     1550      
2013      9         23        0.44      525       
2013      10        21        0.512     418       
2013      11        18        0.732     523       
2013      12        17        0.443     607       
2014      1         21        0.906     489       
2014      2         24        0.594     10100     
2014      3         10        0.8       2410      
2014      3         24        0.746     2990      
2014      4         7         0.627     1830      
2014      4         22        0.524     1950      
2014      5         5         0.391     4810      
2014      5         19        0.352     10000     
2014      6         9         0.532     14800     
2014      6         24        0.39      19300     
2014      7         7         1.16      18600     
2014      7         21        0.349     22800     
2014      8         18        0.252     10100     
2014      9         22        0.294     18200     
2014      10        7         0.268     19200     
2014      12        10        0.286     5580      
2015      2         10        0.333     5310      
2015      3         10        0.434     3440      
2015      3         24        0.257     3830      
2015      4         7         0.331     3780      
2015      4         21        0.33      14000     
2015      5         5         0.239     9860      
2015      5         19        0.277     14100     
2015      6         2         0.23      18800     
2015      6         16        0.912     27700     
2015      7         8         0.336     26100     
2015      7         21        0.23      24300     
2015      8         11        0.157     20900     
2015      10        15        0.328     4130      
2015      12        9         0.188     19600     
2016      2         18        0.246     11100     
2016      3         8         0.23      15300     
2016      3         22        0.201     14300     
2016      4         5         0.208     16800     
2016      4         20        0.458     11800     
2016      5         10        0.297     22600     
2016      5         25        0.154     20200     
2016      6         7         0.169     20100     
2016      6         21        0.172     22600     
2016      7         12        0.24      5430      
2016      7         26        0.306     21300     
2016      8         9         0.263     3630      
2016      10        18        0.276     17700     
2016      12        7         0.257     6650      
2017      2         14        0.72      6370      
2017      3         7         0.38      14500     
2017      3         21        0.238     9940      
2017      4         11        0.235     23300     
2017      4         25        0.246     18500     
2017      5         16        0.17      24000     
2017      5         31        0.213     24500     
2017      6         13        0.191     14200     
2017      6         27        0.289     7950      
2017      7         11        0.224     5790      
2017      7         25        0.172     3050      
2017      8         15        0.253     1390      
2017      10        24        0.356     8980      
2017      12        6         0.313     2130      
2018      2         22        0.604     4470      
2018      3         6         0.411     8490      
2018      3         20        0.609     7890      
2018      4         11        0.338     12500     
2018      4         24        0.29      19800     
2018      5         8         0.28      23700     
2018      5         24        0.207     24000     
2018      6         5         0.243     19300     
2018      6         19        0.288     24100     
2018      7         10        0.294     24200     
2018      7         24        0.238     24100     
2018      8         7         0.215     24000     
2018      10        23        0.255     24200     
2018      12        4         0.451     22900     
