Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         8         0.107     22200     
2008      2         19        0.161     141000    
2008      3         11        0.148     130000    
2008      4         8         0.136     209000    
2008      5         20        0.155     137000    
2008      6         10        0.209     134000    
2008      7         8         0.172     141000    
2008      8         12        0.122     44000     
2008      10        14        0.151     15300     
2008      11        18        0.144     31500     
2008      12        9         0.124     12700     
2009      1         6         0.116     29600     
2009      2         10        0.141     27400     
2009      3         3         0.0994    15300     
2009      4         28        0.127     76200     
2009      5         12        0.183     201000    
2009      5         26        0.169     188000    
2009      6         9         0.122     72100     
2009      7         21        0.0786    19900     
2009      8         11        0.105     31100     
2009      11        12        0.113     79500     
2009      12        8         0.117     25300     
2010      1         28        0.113     59000     
2010      2         10        0.0963    93200     
2010      3         2         0.092     74100     
2010      3         16        0.0786    45900     
2010      4         6         0.109     81000     
2010      4         27        0.0717    33200     
2010      5         11        0.0781    27100     
2010      5         25        0.139     152000    
2010      6         8         0.0785    17400     
2010      8         11        0.124     28300     
2010      10        12        0.112     9360      
2010      12        7         0.0806    10300     
2011      1         12        0.0854    12500     
2011      2         8         0.0793    22400     
2011      3         8         0.0701    15800     
2011      3         22        0.0928    41100     
2011      4         12        0.0866    28900     
2011      5         5         0.176     217000    
2011      5         10        0.143     109000    
2011      5         24        0.125     124000    
2011      6         14        0.118     62600     
2011      8         9         0.0593    1230      
2011      10        11        0.086     365       
2011      12        13        0.0968    28500     
2012      1         24        0.0832    16600     
2012      2         14        0.0933    35700     
2012      3         6         0.0734    5060      
2012      3         27        0.17      178000    
2012      4         10        0.095     71000     
2012      4         24        0.0917    38300     
2012      5         8         0.13      79500     
2012      5         22        0.123     4380      
2012      6         12        0.1       5010      
2012      8         14        0.0836    1920      
2012      10        16        0.109     3950      
2012      12        5         0.113     7750      
2013      1         23        0.109     11500     
2013      2         14        0.0783    10500     
2013      3         7         0.0636    8820      
2013      3         27        0.0701    10500     
2013      4         9         0.0918    28600     
2013      4         24        0.117     83700     
2013      5         7         0.0878    37200     
2013      5         29        0.118     56200     
2013      6         12        0.127     138000    
2013      6         25        0.11      41200     
2013      7         11        0.114     6020      
2013      8         29        0.22      57100     
2013      10        18        0.167     5230      
2013      12        11        0.118     20600     
2014      1         8         0.107     9870      
2014      2         6         0.0958    23700     
2014      3         19        0.116     84000     
2014      3         25        0.0804    33000     
2014      4         9         0.0828    39400     
2014      4         23        0.0751    26800     
2014      5         15        0.153     51100     
2014      5         28        0.0788    39900     
2014      6         12        0.13      65200     
2014      6         25        0.0939    38700     
2014      7         9         0.0826    29200     
2014      8         19        0.0885    11000     
2014      10        7         0.128     8850      
2014      12        10        0.111     13400     
2015      1         13        0.132     29300     
2015      2         3         0.105     7110      
2015      3         11        0.108     78900     
2015      3         26        0.0884    44700     
2015      4         14        0.0824    73300     
2015      4         28        0.0947    49900     
2015      5         13        0.302     287000    
2015      5         28        0.324     292000    
2015      6         11        0.124     179000    
2015      6         24        0.166     173000    
2015      7         15        0.15      162000    
2015      8         18        0.121     18600     
2015      10        21        0.0924    1200      
2015      12        10        0.154     85100     
2016      1         28        0.133     65700     
2016      2         23        0.104     13400     
2016      3         8         0.109     36900     
2016      3         24        0.0929    50100     
2016      4         14        0.0744    18000     
2016      4         26        0.126     62200     
2016      5         11        0.155     80400     
2016      5         25        0.111     51800     
2016      6         9         0.122     51500     
2016      6         22        0.0908    20900     
2016      7         19        0.0786    27600     
2016      8         18        0.141     30400     
2016      10        13        0.19      58000     
2016      12        22        0.168     4000      
2017      1         31        0.118     20000     
2017      3         2         0.113     17000     
2017      3         15        0.113     10000     
2017      3         30        0.113     46000     
2017      4         19        0.159     64000     
2017      4         25        0.235     134000    
2017      5         11        0.175     157000    
2017      5         22        0.245     201000    
2017      6         12        0.178     137000    
2017      6         26        0.127     40000     
2017      7         18        0.0809    27000     
2017      8         10        0.137     14000     
2017      10        25        0.113     13800     
2017      12        7         0.105     14300     
2018      1         19        0.0994    8100      
2018      2         15        0.0824    1630      
2018      3         8         0.158     81600     
2018      3         22        0.096     29400     
2018      4         10        0.128     71900     
2018      4         25        0.0811    21500     
2018      5         9         0.0929    54800     
2018      5         24        0.114     25000     
2018      6         6         0.0963    11600     
2018      6         22        0.0764    10700     
2018      7         18        0.0992    9510      
2018      8         23        0.153     33900     
2018      10        17        0.148     87800     
2018      12        19        0.132     65900     
