Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         11        0.297     7610      
2008      2         8         0.579     27400     
2008      3         12        0.416     10400     
2008      4         9         0.21      1400      
2008      5         7         0.264     32400     
2008      5         14        0.34      48400     
2008      5         28        0.348     34900     
2008      6         4         0.341     35900     
2008      6         11        0.327     21500     
2008      6         18        0.319     3560      
2008      7         9         0.172     4110      
2008      7         16        0.241     14000     
2008      7         23        0.193     18200     
2008      8         6         0.184     8130      
2008      8         13        0.435     29800     
2008      8         27        0.385     25000     
2008      9         3         0.993     32000     
2008      9         10        0.501     39500     
2008      10        15        0.222     8660      
2008      11        13        0.25      9840      
2008      12        4         0.366     9070      
2009      1         8         0.434     50000     
2009      2         4         0.235     13000     
2009      3         5         0.402     29600     
2009      4         8         0.271     10000     
2009      5         6         0.483     33400     
2009      5         13        0.2       15300     
2009      5         21        0.141     13000     
2009      6         3         0.238     25500     
2009      6         10        0.299     77800     
2009      6         17        0.36      58000     
2009      7         9         0.174     13800     
2009      7         15        0.177     12900     
2009      7         22        0.233     23000     
2009      8         3         0.481     44500     
2009      8         13        0.175     16500     
2009      8         20        0.218     14000     
2009      9         3         0.18      14000     
2009      9         16        0.421     25000     
2009      10        21        0.22      55500     
2009      11        18        0.216     35500     
2009      12        9         0.12      38000     
2009      12        16        0.33      29500     
2010      1         6         0.214     30000     
2010      1         21        0.5       47000     
2010      2         10        0.187     29000     
2010      3         2         0.16      40500     
2010      3         16        0.238     24000     
2010      3         24        0.14      13700     
2010      4         6         0.105     13200     
2010      4         15        0.09      16700     
2010      5         6         0.328     15500     
2010      5         18        0.165     4100      
2010      5         26        0.126     11400     
2010      6         2         0.145     15000     
2010      6         8         0.208     31500     
2010      6         17        0.09      9000      
2010      6         22        0.127     6800      
2010      7         7         0.129     8600      
2010      7         13        0.131     10700     
2010      7         21        0.118     7600      
2010      7         27        0.11      6600      
2010      8         5         0.119     10500     
2010      8         18        0.148     7500      
2010      8         24        0.148     8600      
2010      8         31        0.125     8300      
2010      9         8         0.144     6400      
2010      9         29        0.15      5200      
2010      10        20        0.153     5910      
2010      10        28        0.21      6880      
2010      11        29        0.113     7340      
2010      12        8         0.224     8280      
2011      1         6         0.438     7780      
2011      1         13        0.1       4500      
2011      2         2         0.26      9190      
2011      2         9         0.322     9250      
2011      3         23        0.178     3370      
2011      4         14        0.252     17400             
2011      5         24        0.105     26000     
2011      6         1         0.148     40000     
2011      6         14        0.195     38200     
2011      6         23        0.288     51600     
2011      7         13        0.182     14300     
2011      7         20        0.175     13300     
2011      7         27        0.223     17900     
2011      8         10        0.161     7810      
2011      8         17        0.174     11800     
2011      8         24        0.17      9410      
2011      9         7         0.187     11300     
2011      9         21        0.123     6350      
2011      10        19        0.193     5030      
2011      11        21        0.122     8870      
2011      12        14        0.254     12800     
2012      1         19        0.229     13000     
2012      2         22        0.389     24200     
2012      3         28        0.31      20200     
2012      4         25        0.239     4650      
2012      5         9         0.148     4940      
2012      5         16        0.108     2430      
2012      5         22        0.121     5840      
2012      6         6         0.446     14800     
2012      6         13        0.572     22400     
2012      6         26        0.167     4410      
2012      7         11        0.212     4590      
2012      7         18        0.405     16200     
2012      7         25        0.254     3730      
2012      8         8         0.208     4520      
2012      8         15        0.243     4320      
2012      8         23        0.257     4460      
2012      9         6         0.276     2750      
2012      9         26        0.231     3990      
2012      10        17        0.417     10800     
2012      11        13        0.134     7510      
2012      12        6         0.672     10000     
2013      1         17        0.617     64400     
2013      1         29        0.38      43300     
2013      2         5         0.464     36800     
2013      2         20        0.397     38900     
2013      3         4         0.465     29800     
2013      3         27        0.655     42600     
