Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         9         0.34      7500      
2008      2         14        0.33      8970      
2008      3         12        0.635     11000     
2008      4         9         0.45      6830      
2008      5         13        0.855     12900                 
2008      6         24        0.68      12600     
2008      7         8         0.87      8760      
2008      7         22        0.85      11300     
2008      8         5         0.405     4400      
2008      8         20        0.52      4670      
2008      9         9         0.435     3930      
2008      10        15        0.548     7760      
2008      11        13        0.488     11000     
2008      12        10        0.396     8140      
2009      1         7         0.37      9960          
2009      3         12        0.467     6650      
2009      4         9         0.458     9130      
2009      5         14        0.336     7020      
2009      5         28        0.382     5750      
2009      6         15        0.874     10200     
2009      6         25        0.776     13800     
2009      7         8         0.52      8160      
2009      7         21        0.398     5880      
2009      8         6         0.425     4530      
2009      8         19        1.13      11300     
2009      9         16        0.503     6160      
2009      10        22        0.42      7730      
2009      11        18        0.415     8730      
2009      12        17        0.324     4300      
2010      1         14        0.252     3700      
2010      2         10        0.24      6780          
2010      4         8         0.413     8530      
2010      5         12        0.486     9230      
2010      5         26        0.41      8950              
2010      7         6         0.654     14200     
2010      7         21        0.704     14500     
2010      8         5         0.767     12700     
2010      8         18        0.449     6560      
2010      9         15        0.748     7780      
2010      10        20        0.418     7150      
2010      11        18        0.334     7780      
2010      12        15        0.338     5130      
2011      1         20        0.291     7480         
2011      3         17        0.533     12500     
2011      4         19        0.678     17900     
2011      5         11        0.432     8440      
2011      5         26        0.734     24800     
2011      6         8         0.578     15900         
2011      7         6         0.957     21000     
2011      7         20        0.522     13300     
2011      8         4         0.448     8300      
2011      8         18        0.393     12300     
2011      9         14        0.424     6700      
2011      10        18        0.47      9280      
2011      11        16        0.358     8550      
2011      12        14        0.472     10500     
2012      1         5         0.303     7810      
2012      2         8         0.328     8670      
2012      3         7         0.497     9390      
2012      4         5         0.4       6660      
2012      5         9         0.884     8670      
2012      5         23        0.685     4540      
2012      6         6         0.633     5880      
2012      6         21        0.491     3790      
2012      7         11        0.529     1180      
2012      7         25        0.6       676       
2012      8         9         0.912     596       
2012      8         20        0.992     548       
2012      9         5         0.844     588       
2012      10        16        0.408     2210      
2012      12        18        0.37      5150      
2013      1         16        0.358     4320      
2013      2         20        0.416     5400      
2013      3         20        0.538     6450      
2013      4         18        0.641     10100     
2013      5         15        0.358     5540          
2013      6         11        1.02      7440      
2013      6         25        1.12      7170      
2013      7         18        0.546     1740      
2013      7         30        0.643     2900      
2013      8         14        0.572     3150      
2013      8         28        0.473     3600      
2013      10        28        0.422     6150      
2013      12        18        0.38      3450      
2014      1         23        0.287     4630      
2014      2         24        0.37      12100     
2014      3         19        0.419     7720      
2014      4         15        0.653     7530      
2014      5         15        0.775     9110      
2014      5         29        0.608     5970      
2014      6         11        0.991     9810      
2014      6         26        0.859     14700     
2014      7         16        0.839     7050      
2014      7         30        0.496     3340      
2014      8         13        0.602     4980      
2014      8         28        1.32      16400     
2014      10        23        0.55      7630      
2014      12        17        0.44      7740      
2015      1         21        0.31      6150      
2015      2         24        0.31      9130      
2015      3         17        0.5       6440      
2015      5         11        1.38      11500     
2015      5         28        0.41      18600          
2015      6         29        0.46      23300     
2015      7         15        0.46      7910      
2015      7         30        0.57      5640      
2015      8         12        0.47      5250      
2015      8         26        0.44      5310      
2015      10        23        0.42      6300      
2015      12        18        0.65      11800     
2016      1         27        0.31      10200     
2016      2         23        0.88      16500     
2016      3         25        0.34      8230      
2016      4         19        0.51      15600     
2016      5         9         0.63      21500     
2016      5         24        0.55      20500     
2016      6         15        0.79      14400     
2016      6         28        0.47      10900     
2016      7         12        0.86      13400     
2016      7         27        0.094     5910      
2016      8         10        0.47      5430      
2016      8         31        0.75      6000      
2016      10        20        0.49      7500      
2016      12        21        0.34      4780      
2017      1         23        1.31      12000     
2017      2         15        1.46      12200     
2017      3         22        0.38      8430      
2017      4         19        0.68      11900     
2017      5         9         0.6       10900        
2017      6         13        1.07      11800     
2017      6         28        1.68      10100     
2017      7         12        0.38      3740      
2017      7         25        0.38      3990      
2017      8         8         0.39      4220      
2017      8         29        0.9       8010      
2017      10        25        0.51      7490      
2017      12        18        0.4       7090      
2018      1         24        0.27      5970      
2018      2         15        0.31      8010      
2018      3         20        0.68      14500     
2018      4         17        0.45      11600     
2018      5         16        0.53      10700     
2018      5         30        0.5       11600     
2018      6         12        1.11      12300         
2018      7         11        0.71      12600     
2018      7         25        0.6       8670      
2018      8         16        0.4       5860      
2018      8         29        0.53      7600      
2018      10        23        0.47      9880      
2018      12        19        0.4       10500     
