Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         8         0.0083    201000    
2008      2         5         0.0069    229000    
2008      3         4         0.0043    257000    
2008      3         19        0.008     262000    
2008      4         3         0.0085    265000    
2008      4         17        0.0093    259000    
2008      5         6         0.0094    292000    
2008      5         28        0.0088    301000    
2008      6         18        0.0071    288000    
2008      8         19        0.0095    283000    
2008      10        30        0.0095    249000    
2008      12        16        0.0072    253000    
2009      1         6         0.0077    230000    
2009      1         21        0.0064    220000    
2009      2         4         0.009     240000    
2009      2         18        0.0084    255000    
2009      3         10        0.0076    271000    
2009      3         24        0.0053    276000    
2009      4         7         0.005     249000    
2009      5         12        0.0058    289000    
2009      6         9         0.0064    290000    
2009      8         4         0.0113    283000    
2009      10        21        0.007     256000    
2009      12        15        0.0074    258000    
2010      1         6         0.0058    220000    
2010      1         20        0.004     215000    
2010      2         9         0.0079    234000    
2010      2         24        0.0063    251000    
2010      3         10        0.0059    248000    
2010      3         23        0.0048    244000    
2010      4         14        0.0053    242000    
2010      5         11        0.006     223000    
2010      6         22        0.0071    225000    
2010      8         25        0.0136    255000    
2010      10        5         0.0108    243000    
2010      12        8         0.0066    252000    
2011      1         6         0.0058    220000    
2011      1         19        0.0051    212000    
2011      2         9         0.0062    234000    
2011      2         23        0.0068    223000    
2011      3         9         0.0087    227000    
2011      3         23        0.0083    254000    
2011      4         27        0.0071    266000    
2011      5         25        0.0119    289000    
2011      6         22        0.008     310000    
2011      8         24        0.0107    275000    
2011      10        26        0.0084    263000    
2011      12        21        0.0064    264000    
2012      1         11        0.0061    242000    
2012      1         25        0.0054    220000    
2012      2         15        0.0055    291000    
2012      2         29        0.0052    291000    
2012      3         16        0.0069    292000    
2012      3         29        0.006     273000    
2012      4         25        0.0069    272000    
2012      5         23        0.0077    248000    
2012      6         27        0.0119    238000    
2012      8         29        0.0093    229000    
2012      10        24        0.0076    215000    
2012      12        19        0.0052    200000    
2013      1         24        0.0047    210000    
2013      2         5         0.0057    213000    
2013      2         21        0.0044    224000    
2013      3         5         0.0052    227000    
2013      3         19        0.0065    228000    
2013      4         17        0.0064    228000    
2013      4         23        0.0065    242000    
2013      5         23        0.0077    224000    
2013      6         20        0.0102    241000    
2013      7         10        0.0091    262000    
2013      8         22        0.01      265000    
2013      10        30        0.0091    245000    
2013      12        5         0.009     258000    
2014      1         8         0.0052    191000    
2014      2         6         0.0075    240000    
2014      2         19        0.0085    249000    
2014      3         18        0.0076    244000    
2014      3         26        0.0063    241000    
2014      4         9         0.0094    223000    
2014      4         29        0.0066    263000    
2014      5         14        0.009     274000    
2014      5         30        0.0085    290000    
2014      6         26        0.0076    292000    
2014      7         14        0.0089    295000    
2014      8         14        0.0119    284000    
2014      10        23        0.0101    261000    
2014      12        16        0.0051    235000    
2015      1         29        0.0073    228000    
2015      2         11        0.0071    239000    
2015      2         24        0.0074    239000    
2015      3         10        0.0078    229000    
2015      3         24        0.0065    223000    
2015      4         16        0.0052    226000    
2015      4         28        0.005     233000    
2015      5         5         0.0051    236000    
2015      5         27        0.0045    231000    
2015      6         23        0.0061    254000    
2015      7         21        0.0112    297000    
2015      8         20        0.0108    301000    
2015      10        1         0.0118    286000    
2015      12        2         0.0081    268000    
2016      1         14        0.0077    220000    
2016      2         12        0.0074    220000    
2016      2         24        0.0076    275000    
2016      3         9         0.0141    284000    
2016      3         23        0.0123    293000    
2016      4         5         0.0124    275000    
2016      4         20        0.0127    304000    
2016      5         11        0.0066    303000    
2016      5         25        0.0066    297000    
2016      6         9         0.0129    273000    
2016      7         20        0.0106    263000    
2016      8         18        0.0179    256000    
2016      10        13        0.0084    246000    
2016      12        6         0.0144    244000    
2017      1         10        0.0063    220000    
2017      2         7         0.0074    244000    
2017      2         22        0.005     258000    
2017      3         7         0.0056    254000    
2017      4         4         0.006     275000    
2017      4         25        0.0052    281000    
2017      5         9         0.0078    229000    
2017      5         23        0.0091    349000    
2017      6         13        0.0076    361000    
2017      7         25        0.0112    367000    
2017      8         22        0.0113    349000    
2017      10        17        0.0128    307000    
2017      12        19        0.0066    299000    
2018      1         9         0.0054    220000    
2018      2         6         0.0093    313000    
2018      2         27        0.0083    315000    
2018      3         13        0.0056    323000    
2018      3         27        0.0058    316000    
2018      4         10        0.0056    303000    
2018      4         24        0.0053    307000    
2018      5         8         0.004     261000    
2018      5         30        0.0086    331000    
2018      6         13        0.0066    328000    
2018      7         10        0.0094    311000    
2018      8         14        0.0076    301000    
2018      10        10        0.008     282000    
