Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         17        0.212     166000    
2008      2         12        0.273     198000    
2008      3         11        0.264     336000    
2008      3         25        0.241     418000    
2008      4         8         0.211     561000    
2008      4         22        0.204     621000    
2008      5         6         0.178     530000    
2008      5         28        0.208     421000    
2008      6         10        0.234     331000    
2008      8         19        0.223     187000    
2008      10        21        0.165     112000    
2008      11        13        0.228     112000    
2009      1         20        0.236     263000    
2009      2         17        0.196     193000    
2009      3         19        0.293     231000    
2009      4         7         0.236     298000    
2009      4         22        0.221     346000    
2009      5         5         0.187     348000    
2009      5         22        0.204     510000    
2009      6         2         0.176     542000    
2009      6         19        0.198     318000    
2009      8         12        0.185     209000    
2009      10        5         0.177     193000    
2009      12        3         0.217     301000    
2010      1         13        0.174     334000    
2010      2         3         0.257     370000    
2010      2         22        0.148     417000    
2010      3         10        0.155     280000    
2010      3         24        0.352     298000    
2010      4         8         0.205     388000    
2010      4         22        0.195     295000    
2010      5         6         0.261     239000    
2010      5         20        0.191     376000    
2010      6         3         0.17      389000    
2010      6         17        0.227     249000    
2010      9         1         0.309     170000    
2010      10        28        0.19      125000    
2010      12        9         0.215     157000    
2011      1         11        0.187     123000    
2011      2         10        0.176     123000    
2011      2         23        0.163     121000    
2011      3         7         0.567     295000    
2011      3         22        0.248     397000    
2011      4         7         0.153     407000    
2011      4         21        0.192     318000    
2011      5         12        0.192     605000    
2011      5         19        0.244     672000    
2011      5         26        0.17      688000    
2011      6         2         0.17      621000    
2011      6         7         0.171     570000    
2011      6         16        0.186     438000    
2011      6         23        0.224     338000    
2011      6         30        0.267     273000    
2011      7         14        0.267     281000    
2011      7         28        0.303     195000    
2011      8         25        0.198     146000    
2011      10        25        0.13      87000     
2011      12        12        0.272     332000    
2012      1         19        0.187     214000    
2012      2         9         0.285     335000    
2012      2         23        0.239     274000    
2012      3         8         0.135     164000    
2012      3         20        0.231     314000    
2012      4         5         0.294     331000    
2012      4         19        0.202     190000    
2012      5         3         0.152     138000    
2012      5         17        0.325     219000    
2012      6         12        0.163     100000    
2012      6         27        0.156     83000     
2012      8         9         0.166     76000     
2012      10        25        0.148     65000     
2012      12        4         0.111     65000     
2013      1         21        0.403     267000    
2013      2         6         0.311     277000    
2013      2         26        0.256     257000    
2013      3         5         0.27      215000    
2013      3         21        0.262     255000    
2013      4         15        0.238     284000    
2013      4         25        0.329     347000    
2013      5         9         0.296     383000    
2013      5         23        0.175     426000    
2013      6         6         0.212     338000    
2013      6         20        0.253     363000    
2013      7         18        0.284     284000    
2013      8         1         0.192     214000    
2013      8         22        0.284     207000    
2013      11        13        0.194     101000    
2013      12        2         0.3       139000    
2014      1         13        0.234     302000    
2014      2         6         0.173     157000    
2014      2         19        0.251     267000    
2014      3         3         0.201     222000    
2014      3         20        0.231     219000    
2014      3         31        0.288     244000    
2014      4         24        0.26      378000    
2014      5         8         0.286     258000    
2014      5         22        0.232     261000    
2014      6         5         0.214     264000    
2014      6         19        0.295     269000    
2014      7         9         0.43      221000    
2014      7         31        0.265     174000    
2014      8         21        0.174     103000    
2014      10        23        0.375     200000    
2014      12        11        0.162     138000    
2015      1         15        0.233     234000    
2015      2         12        0.144     127000    
2015      2         26        0.268     169000    
2015      3         16        0.401     332000    
2015      3         26        0.231     426000    
2015      4         9         0.169     424000    
2015      4         24        0.209     392000    
2015      5         4         0.188     421000    
2015      5         21        0.347     309000    
2015      6         4         0.239     359000    
2015      6         18        0.192     372000    
2015      7         1         0.313     396000    
2015      7         16        0.202     455000    
2015      8         13        0.293     325000    
2015      10        8         0.201     87000     
2015      12        10        0.362     312000    
2016      1         14        0.362     594000    
2016      2         4         0.181     402000    
2016      2         26        0.184     296000    
2016      3         10        0.196     363000    
2016      3         24        0.196     493000    
2016      4         7         0.311     389000    
2016      4         20        0.25      323000    
2016      5         5         0.296     302000    
2016      5         26        0.264     338000    
2016      6         9         0.212     305000    
2016      6         23        0.186     215000    
2016      7         14        0.248     178000    
2016      7         28        0.192     140000    
2016      8         25        0.297     205000    
2017      3         1         0.0774    167000    
2017      5         22        0.08      501000    
2017      6         5         0.19      499000    
2017      6         19        0.18      383000    
2017      7         10        0.2       246000    
2017      7         24        0.19      181000    
2017      8         17        0.19      149000    
2017      10        19        0.12      101000    
2017      12        11        0.18      122000    
2018      1         23        0.219     138000    
2018      2         12        0.502     221000    
2018      2         26        0.508     367000    
2018      3         15        0.207     618000    
2018      3         28        0.184     503000    
2018      4         9         0.231     455000    
2018      4         23        0.182     459000    
2018      5         7         0.165     415000    
2018      5         24        0.226     265000    
2018      6         4         0.195     248000    
2018      6         21        0.161     165000    
2018      7         9         0.34      244000    
2018      7         23        0.247     157000    
2018      8         13        0.212     143000    
2018      10        18        0.248     289000    
2018      12        3         0.181     310000    
