Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         10        0.48      60200     
2008      1         24        0.254     47200     
2008      2         7         0.65      68800     
2008      2         28        0.288     59900     
2008      3         6         0.36      78200     
2008      3         25        0.307     181000    
2008      4         16        0.198     90000     
2008      5         15        0.28      78400     
2008      6         16        0.247     224000    
2008      6         25        0.271     39600     
2008      8         13        0.134     17200     
2008      11        4         0.165     6400      
2008      12        9         0.118     6400      
2009      1         13        0.241     27100     
2009      1         27        0.135     13200     
2009      2         10        0.469     35800     
2009      2         24        0.255     63700     
2009      3         10        0.222     27700     
2009      3         24        0.213     53200     
2009      4         7         0.388     63600     
2009      5         12        0.205     79100     
2009      6         2         0.279     42000     
2009      8         25        0.141     15000     
2009      11        4         0.326     50200     
2009      12        8         0.211     25900     
2010      1         20        0.118     18400     
2010      1         26        0.38      55700     
2010      2         9         0.161     29800     
2010      2         23        0.174     29000     
2010      3         16        0.366     51800     
2010      3         30        0.272     64400     
2010      4         20        0.199     23900     
2010      5         25        0.325     56800     
2010      6         15        0.335     45500     
2010      8         3         0.153     16100     
2010      10        19        0.11      4380      
2010      12        7         0.286     16000     
2011      1         4         0.694     29600     
2011      1         19        0.136     10800     
2011      2         8         0.162     13300     
2011      2         23        0.424     48600     
2011      3         8         0.306     129000    
2011      3         29        0.21      40900     
2011      5         24        0.248     51400     
2011      6         14        0.236     45600     
2011      8         17        0.116     7870      
2011      10        26        0.245     14800     
2011      12        6         0.368     84800     
2012      1         10        0.157     35800     
2012      1         24        0.517     74500     
2012      2         7         0.21      71400     
2012      2         22        0.121     30400     
2012      3         6         0.172     32000     
2012      3         20        0.18      27200     
2012      4         17        0.212     22900     
2012      5         22        0.145     12100     
2012      6         5         0.112     7900      
2012      8         23        0.132     4490      
2012      10        31        0.246     12900     
2012      12        12        0.225     8750      
2013      1         29        0.381     31500     
2013      2         13        0.301     40100     
2013      2         26        0.152     26100     
2013      3         13        0.178     42200     
2013      3         28        0.165     35100     
2013      4         10        0.183     21100     
2013      4         23        0.364     109000    
2013      5         8         0.259     90800     
2013      6         3         0.684     65800     
2013      7         16        0.279     25700     
2013      8         12        0.17      11000     
2013      10        22        0.154     6260      
2013      12        11        0.128     8020      
2014      1         13        0.503     53900     
2014      2         11        0.22      24200     
2014      2         24        0.773     67900     
2014      3         4         0.29      70700     
2014      3         11        0.236     35600     
2014      3         24        0.261     45200     
2014      4         7         0.468     107000    
2014      4         30        0.632     48200     
2014      5         12        0.163     22000     
2014      6         18        0.275     37000     
2014      7         15        0.246     17300     
2014      8         13        0.135     7820      
2014      10        14        0.237     17800     
2014      12        15        0.104     43400     
2015      1         12        0.265     36900     
2015      1         26        0.274     32400     
2015      3         11        0.398     50200     
2015      4         6         0.294     70200     
2015      4         20        0.29      64900     
2015      5         4         0.212     32600     
2015      5         27        0.198     19300     
2015      6         8         0.229     31200     
2015      7         6         0.186     116000    
2015      8         6         0.283     48000     
2015      10        20        0.0907    6220      
2015      12        7         0.184     19500     
2016      1         5         0.476     151000    
2016      1         20        0.194     53000     
2016      2         3         0.125     23300     
2016      2         23        0.238     24200     
2016      3         8         0.185     50200     
2016      3         21        0.231     74800     
2016      4         4         0.447     64500     
2016      4         25        0.233     45100     
2016      5         9         0.228     54100     
2016      7         25        0.338     22700     
2016      8         8         0.138     12200     
2016      9         6         0.184     16600     
2016      10        24        0.566     31100     
2016      12        5         0.256     31900     
2017      1         3         0.323     36100     
2017      1         25        0.368     82300     
2017      2         1         0.254     69100     
2017      2         21        0.164     22200     
2017      3         8         0.373     49800     
2017      3         28        0.254     27900     
2017      4         12        0.284     56100     
2017      4         27        0.172     22000     
2017      5         15        0.192     172000    
2017      6         28        0.35      48700     
2017      7         24        0.276     34400     
2017      8         14        0.114     12400     
2017      10        16        0.166     9990      
2018      2         27        0.478     96300     
2018      3         13        0.191     74100     
2018      3         26        0.355     49200     
2018      4         9         0.338     146000    
2018      4         23        0.19      62700     
2018      5         7         0.135     27200     
2018      5         24        0.211     20900     
2018      6         11        0.232     25800     
2018      8         6         0.141     11200     
2018      9         4         0.286     17800     
2018      10        24        0.14      13900     
2018      12        7         0.349     58700     
