Year    Month   Day     Conc_mg/l Q_cfs          
2008      1         9         0.114     17500     
2008      2         14        0.097     14300     
2008      3         19        0.82      22300     
2008      4         8         0.29      23100     
2008      4         22        0.29      27300     
2008      5         8         0.28      29300     
2008      5         20        0.327     24000     
2008      6         2         0.805     40600     
2008      6         12        1.08      70700     
2008      6         16        0.74      47500     
2008      7         23        0.36      29000     
2008      9         3         0.167     29100     
2008      10        21        0.253     24900     
2009      2         2         0.107     16300     
2009      3         9         0.428     17400     
2009      3         23        0.277     24500     
2009      4         6         0.357     28300     
2009      4         20        0.257     29100     
2009      5         4         0.249     29200     
2009      5         18        0.281     31900     
2009      6         8         0.26      33500     
2009      6         24        0.308     40400     
2009      7         13        0.854     49300     
2009      8         19        0.379     34300     
2009      10        6         0.192     34700     
2010      1         14        0.124     22200     
2010      3         2         0.134     20300     
2010      3         22        0.834     97900     
2010      4         6         0.456     52300     
2010      4         20        0.297     40300     
2010      5         4         0.311     43100     
2010      5         17        0.292     45600     
2010      6         1         0.258     41100     
2010      6         21        0.506     81500     
2010      7         13        0.438     63900     
2010      8         23        0.353     62300     
2010      10        19        0.208     61600     
2010      11        29        0.214     52500     
2011      2         14        0.154     29300     
2011      3         1         0.365     35700     
2011      3         14        0.278     32200     
2011      3         28        0.777     68500     
2011      4         11        0.479     55000     
2011      4         25        0.5       79100     
2011      5         9         0.262     76400     
2011      5         23        0.533     87100     
2011      6         7         0.323     115000    
2011      6         20        0.27      177000    
2011      8         8         0.368     174000    
2011      10        12        0.163     49800     
2011      11        28        0.161     47000     
2012      1         31        0.112     26900     
2012      3         5         0.552     32400     
2012      4         9         0.107     33000     
2012      4         23        0.163     30600     
2012      5         7         0.674     34000     
2012      5         21        0.426     40900     
2012      6         11        0.3       40500     
2012      6         25        0.302     37500     
2012      7         23        0.107     35900     
2012      8         27        0.123     39600     
2012      10        1         0.124     37700     
2012      12        4         0.138     21000     
2013      2         5         0.109     18600     
2013      3         12        0.696     20700     
2013      3         25        0.264     26900     
2013      4         8         0.172     28000     
2013      4         22        0.315     20900     
2013      5         7         0.228     24800     
2013      5         22        0.419     25600     
2013      6         4         0.614     33300     
2013      6         19        0.619     40400     
2013      7         1         0.307     34500     
2013      7         23        0.221     30200     
2013      8         26        0.199     32100     
2013      10        21        0.155     29900     
2013      12        2         0.146     19100     
2014      2         13        0.118     17900     
2014      3         10        0.135     18300     
2014      3         24        0.256     29200     
2014      4         8         0.178     31500     
2014      4         22        0.231     31100     
2014      5         5         0.151     30600     
2014      5         20        0.153     33500     
2014      6         3         0.202     36000     
2014      6         18        1.73      73900     
2014      7         7         1.91      48600     
2014      7         29        0.201     35000     
2014      8         26        0.255     37000     
2014      10        14        0.158     52700     
2014      12        9         0.226     28300     
2015      1         27        0.143     24900     
2015      3         10        0.31      22000     
2015      3         24        0.186     31000     
2015      4         7         0.248     31000     
2015      4         21        0.354     32700     
2015      5         5         0.167     30300     
2015      5         19        0.256     38100     
2015      6         2         0.174     36700     
2015      6         16        0.802     39900     
2015      6         30        0.217     33200     
2015      7         14        0.233     37100     
2015      7         28        0.352     37400     
2015      8         24        0.983     41400     
2015      10        20        0.134     34000     
2015      12        2         0.257     32500     
2016      2         23        0.845     41000     
2016      3         8         0.374     31200     
2016      3         22        0.272     28200     
2016      4         5         0.353     39200     
2016      4         19        0.179     32700     
2016      5         3         0.809     61800     
2016      5         18        0.417     43400     
2016      6         1         0.602     46200     
2016      6         15        0.309     41400     
2016      6         28        0.28      39800     
2016      7         13        0.366     36300     
2016      7         26        0.454     33500     
2016      8         16        0.168     31600     
2016      10        19        0.241     31500     
2017      1         3         0.253     27000     
2017      2         14        0.61      29400     
2017      3         14        0.263     27500     
2017      3         28        0.246     37900     
2017      4         11        0.19      36400     
2017      4         25        0.216     41800     
2017      5         17        0.233     47200     
2017      5         30        0.361     54400     
2017      6         13        0.198     44700     
2017      6         27        0.354     43300     
2017      7         11        0.198     40400     
2017      7         25        0.13      36400     
2017      8         15        0.12      36200     
2017      10        11        0.537     51000     
2017      12        5         0.127     35500     
2018      2         15        0.107     22100     
2018      3         13        0.587     31700     
2018      3         27        0.658     46800     
2018      4         10        0.312     49200     
2018      4         24        0.358     55900     
2018      5         8         0.322     59300     
2018      5         22        0.294     63000     
2018      6         5         0.188     56100     
2018      6         19        0.93      66400     
2018      6         28        1.16      101000    
2018      7         17        0.412     79500     
2018      8         15        0.204     66200     
2018      10        16        0.376     91700     
2018      12        4         0.143     60900     
