Year    Month   Day     Conc_mg/l Q_cfs           
2008      1         9         0.079     7500      
2008      1         24        0.073     4300      
2008      2         20        0.074     9150      
2008      2         26        0.062     11700     
2008      3         12        0.048     11000     
2008      3         25        0.046     7100      
2008      4         17        0.064     11200     
2008      5         6         0.058     9630      
2008      7         1         0.053     10800     
2008      8         6         0.061     4470      
2008      11        6         0.0736    9950      
2008      12        11        0.0968    7140      
2009      1         15        0.112     9780      
2009      1         29        0.0852    10000     
2009      2         11        0.0797    26300     
2009      2         26        0.0576    10200     
2009      3         12        0.0445    6650      
2009      3         26        0.0486    11100     
2009      4         8         0.0649    9190      
2009      5         13        0.0877    6920      
2009      6         4         0.0596    5100      
2009      8         27        0.0911    8220      
2009      11        6         0.08      10800     
2009      12        11        0.0823    3860      
2010      1         8         0.0629    3530      
2010      1         27        0.0946    6120      
2010      2         10        0.116     6780      
2010      3         5         0.0505    13200     
2010      3         18        0.0359    24000     
2010      4         1         0.0333    12500     
2010      4         22        0.0415    7180      
2010      5         27        0.0564    8910      
2010      6         17        0.0464    68700     
2010      8         5         0.0584    12700     
2010      10        21        0.0558    7290      
2010      12        10        0.0792    7780      
2011      1         6         0.064     5870      
2011      1         21        0.0601    7880      
2011      2         11        0.0775    9240      
2011      2         25        0.0815    11400     
2011      3         10        0.0818    10700     
2011      3         31        0.0605    11000     
2011      5         11        0.0815    8440      
2011      5         26        0.0638    24800     
2011      6         16        0.0637    13000     
2011      8         16        0.0859    12300     
2011      10        28        0.0833    8170      
2011      12        8         0.0847    5000      
2012      1         12        0.0739    7630      
2012      1         26        0.0937    6410      
2012      2         9         0.0699    8810      
2012      2         27        0.048     9980      
2012      3         8         0.0507    9580      
2012      3         22        0.0496    8230      
2012      4         19        0.0557    10500     
2012      5         24        0.054     4760      
2012      6         7         0.0492    5480      
2012      8         29        0.0789    779       
2012      11        6         0.0802    3620      
2012      12        6         0.0609    4340      
2013      1         10        0.0992    4330      
2013      1         31        0.098     3590      
2013      2         13        0.0761    6860      
2013      2         26        0.0497    3130      
2013      3         14        0.053     6420      
2013      3         28        0.0484    5220      
2013      4         25        0.058     8400      
2013      4         29        0.0706    7050      
2013      5         30        0.0613    21200     
2013      6         11        0.057     7440      
2013      7         30        0.0617    2900      
2013      8         14        0.0735    3150      
2013      10        24        0.0812    7260      
2013      12        3         0.0631    6850      
2014      1         14        0.049     3760      
2014      1         30        0.037     5180      
2014      2         11        0.0895    3170      
2014      2         25        0.0709    10200     
2014      3         11        0.0695    12000     
2014      3         24        0.0491    6800      
2014      4         16        0.0417    7900      
2014      4         29        0.0412    6760      
2014      5         27        0.0575    7490      
2014      6         24        0.0496    22700     
2014      7         7         0.0461    10300     
2014      8         11        0.0579    4460      
2014      10        27        0.101     6830      
2014      12        15        0.0792    7560      
2015      1         12        0.0924    4770      
2015      1         26        0.0762    8200      
2015      2         23        0.0647    7530      
2015      3         9         0.0701    8160      
2015      4         8         0.0443    6120      
2015      4         22        0.058     9390      
2015      5         5         0.0493    8010      
2015      6         2         0.0424    16800     
2015      8         5         0.0622    7970      
2015      10        20        0.0734    6280      
2015      12        14        0.0997    27000     
2016      1         4         0.0971    8400      
2016      1         19        0.0681    7720      
2016      2         2         0.064     13300     
2016      2         23        0.0846    16500     
2016      3         15        0.0532    9700      
2016      3         30        0.0478    10200     
2016      4         11        0.0416    9480      
2016      4         27        0.0359    16900     
2016      5         25        0.0314    20600     
2016      6         14        0.0472    13100     
2016      7         18        0.0431    7460      
2016      8         10        0.0579    5430      
2016      10        17        0.0651    7500      
2016      12        5         0.0739    7990      
2017      1         5         0.075     6900      
2017      1         19        0.0809    9410      
2017      2         2         0.0619    10900     
2017      2         21        0.0571    9580      
2017      3         6         0.0442    9830      
2017      3         20        0.0493    8650      
2017      4         3         0.0433    11700     
2017      4         17        0.046     11600     
2017      5         10        0.0602    11100     
2017      6         20        0.0509    8050      
2017      7         18        0.03      3520      
2017      8         8         0.0707    4220      
2017      10        16        0.0763    12000     
2017      12        11        0.0593    7250      
2018      1         3         0.104     2950      
2018      2         20        0.14      8320      
2018      2         28        0.0831    8440      
2018      3         19        0.065     14900     
2018      4         9         0.0501    10800     
2018      4         23        0.0493    12200     
2018      5         7         0.0705    11400     
2018      6         5         0.0654    12300     
2018      7         10        0.0556    13900     
2018      8         6         0.0595    7700      
2018      10        9         0.0826    10200     
2018      12        12        0.0701    10100     
