Year      Month     Day       Conc_mg/l Q_cfs        
2008      1         24        0.0443    216000    
2008      2         5         0.0597    251000    
2008      3         20        0.0541    259000    
2008      4         21        0.0461    240000    
2008      5         22        0.12      512000    
2008      6         16        0.0484    414000    
2008      8         18        0.0297    134000    
2008      10        20        0.0314    120000    
2008      12        1         0.0399    148000    
2009      1         12        0.108     340000    
2009      1         22        0.0396    233000    
2009      2         19        0.035     159000    
2009      3         2         0.058     175000    
2009      3         16        0.0359    188000    
2009      4         20        0.0536    289000    
2009      5         4         0.0392    265000    
2009      5         18        0.044     328000    
2009      6         15        0.0353    293000    
2009      8         17        0.0349    114000    
2009      10        21        0.0331    124000    
2009      12        2         0.0423    170000    
2009      12        16        0.0326    184000    
2010      1         6         0.0593    277000    
2010      1         20        0.0579    217000    
2010      2         4         0.0408    179000    
2010      2         17        0.0518    191000    
2010      3         17        0.0469    189000    
2010      4         21        0.0356    248000    
2010      5         26        0.0327    294000    
2010      6         16        0.0673    422000    
2010      8         18        0.0291    152000    
2010      10        20        0.0326    123000    
2010      12        1         0.0328    220000    
2010      12        15        0.0948    391000    
2011      1         5         0.0477    300000    
2011      1         19        0.16      474000    
2011      2         9         0.0542    264000    
2011      3         23        0.0584    307000    
2011      4         20        0.082     440000    
2011      5         4         0.0515    353000    
2011      5         18        0.0839    559000    
2011      6         22        0.0659    519000    
2011      8         24        0.0289    204000    
2011      10        19        0.0304    162000    
2011      12        21        0.03      164000    
2012      1         4         0.0654    286000    
2012      1         26        0.0859    418000    
2012      2         7         0.0397    229000    
2012      2         22        0.0478    272000    
2012      3         7         0.0438    270000    
2012      3         21        0.065     401000    
2012      4         18        0.0492    410000    
2012      5         9         0.057     461000    
2012      5         23        0.0541    448000    
2012      6         20        0.0448    415000    
2012      8         22        0.0283    227000    
2012      10        23        0.04      168000    
2012      12        4         0.068     376000    
2012      12        18        0.045     373000    
2013      1         8         0.028     229000    
2013      1         29        0.028     252000    
2013      2         12        0.024     215000    
2013      2         26        0.021     199000    
2013      3         26        0.038     198000    
2013      4         23        0.029     329000    
2013      5         21        0.02      362000    
2013      6         18        0.024     244000    
2013      8         20        0.028     169000    
2013      10        22        0.037     160000    
2013      12        3         0.043     270000    
2014      1         7         0.039     190000    
2014      1         22        0.027     199000    
2014      2         11        0.022     211000    
2014      2         25        0.064     298000    
2014      3         25        0.053     284000    
2014      4         22        0.038     343000    
2014      5         20        0.029     424000    
2014      6         17        0.027     264000    
2014      7         22        0.02      230000    
2014      8         19        0.023     181000    
2014      10        21        0.024     118000    
2014      12        2         0.044     282000    
2014      12        16        0.036     220000    
2015      1         6         0.081     305000    
2015      1         27        0.028     252000    
2015      2         10        0.081     424000    
2015      2         24        0.048     288000    
2015      3         24        0.03      294000    
2015      4         21        0.038     217000    
2015      5         19        0.033     223000    
2015      6         23        0.025     130000    
2015      8         18        0.028     161000    
2015      11        3         0.07      181000    
2015      12        1         0.024     195000    
2016      1         27        0.062     281000    
2016      2         9         0.053     201000    
2016      2         23        0.045     305000    
2016      3         22        0.053     328000    
2016      4         19        0.044     363000    
2016      6         14        0.039     195000    
2016      7         19        0.03      165000    
2016      8         16        0.031     123000    
2016      9         7         0.034     108000    
2016      10        18        0.062     243000    
2016      12        6         0.047     241000    
2016      12        20        0.043     244000    
2017      1         24        0.049     253000    
2017      2         22        0.057     434000    
2017      3         8         0.048     343000    
2017      4         11        0.066     510000    
2017      5         24        0.042     502000    
2017      6         7         0.064     499000    
2017      6         20        0.031     390000    
2017      7         12        0.028     202000    
2017      8         8         0.029     147000    
2017      10        24        0.05      233000    
2017      11        13        0.04      184000    
2017      12        13        0.027     224000    
2018      1         24        0.027     334000    
2018      2         7         0.034     342000    
2018      3         1         0.02      267000    
2018      3         7         0.034     250000    
2018      3         21        0.028     239000    
2018      4         4         0.036     264000    
2018      5         9         0.056     454000    
2018      6         6         0.038     383000    
2018      8         8         0.02      149000    
