Year    Month   Day     Conc_mg/l Q_cfs          
2008      4         28        0.229     2900      
2008      5         28        0.376     8400      
2008      6         17        0.113     1860      
2008      7         1         0.118     1360      
2008      7         15        0.157     362       
2008      7         29        0.225     269       
2008      8         15        0.162     464       
2008      8         29        0.46      2920      
2008      11        17        0.666     2100      
2009      1         14        0.174     592       
2009      2         25        0.254     550       
2009      5         6         0.736     18400     
2009      5         19        0.25      1630      
2009      6         3         0.175     663       
2009      6         24        0.088     40        
2009      7         1         0.168     302       
2009      7         28        0.173     529       
2009      8         12        0.155     329       
2009      8         25        0.202     422       
2009      9         10        0.386     944       
2009      11        19        0.377     9050      
2010      1         19        0.283     5780      
2010      2         17        0.525     40400     
2010      3         11        0.305     15500     
2010      4         15        0.232     6100      
2010      4         27        0.418     19700     
2010      5         26        0.257     5450      
2010      6         16        0.497     14000     
2010      7         13        0.185     2460      
2010      8         4         0.108     2030      
2010      8         17        0.129     910       
2010      9         1         0.247     1030      
2010      11        18        0.14      1730      
2010      12        14        0.129     925       
2011      2         15        0.233     1150      
2011      3         23        0.14      491       
2011      4         13        0.167     138       
2011      4         26        0.232     309       
2011      5         12        0.184     212       
2011      6         1         0.176     401       
2011      6         22        0.236     200       
2011      7         7         0.187     94        
2011      7         28        0.212     411       
2011      8         17        0.192     300       
2011      10        6         0.192     380       
2012      1         11        0.62      5580      
2012      2         16        0.317     4530      
2012      4         11        0.398     10400     
2012      4         25        0.211     4700      
2012      5         16        0.339     2980      
2012      5         30        0.14      467       
2012      6         12        0.211     304       
2012      6         27        0.172     287       
2012      7         18        0.361     4590      
2012      8         21        0.285     1020      
2012      10        17        0.237     1020      
2012      12        12        0.425     388       
2013      1         17        0.955     5770      
2013      2         13        0.228     698       
2013      3         13        0.188     376       
2013      4         16        0.235     472       
2013      4         30        0.427     1400      
2013      5         9         0.2       171       
2013      5         20        0.474     1130      
2013      6         6         0.389     575       
2013      6         20        0.185     201       
2013      7         1         0.262     174       
2013      7         16        0.286     406       
2013      8         7         0.221     419       
2013      11        12        0.423     12400     
2013      12        10        0.232     5210      
2014      1         22        0.214     1290      
2014      2         12        0.229     1030      
2014      3         5         0.472     1500      
2014      4         3         0.182     491       
2014      4         16        2.8       1240      
2014      5         7         0.213     289       
2014      5         20        0.608     7700      
2014      6         12        0.268     2990      
2014      6         25        0.28      1900      
2014      7         9         0.309     1620      
2014      7         22        0.253     1910      
2014      8         12        0.223     745       
2014      10        28        0.19      405       
2014      12        2         0.74      2620      
2015      1         13        0.47      4650      
2015      2         10        0.22      3310      
2015      3         3         0.23      1070      
2015      4         7         0.21      5080      
2015      4         22        0.51      12500     
2015      5         20        0.77      43400     
2015      6         5         0.29      67600     
2015      6         18        0.54      43300     
2015      6         30        0.5       38900     
2015      7         14        0.43      18800     
2015      7         28        0.3       10100     
2015      8         12        0.25      6120      
2015      10        21        0.23      640       
2015      12        9         0.43      37100     
2016      1         20        0.28      15300     
2016      2         17        0.19      6400      
2016      3         7         0.26      7690      
2016      3         16        0.47      56300     
2016      4         5         0.24      11000     
2016      4         26        0.38      67000     
2016      5         12        0.38      33900     
2016      5         25        0.55      49900     
2016      6         8         0.37      80700     
2016      6         22        0.59      40600     
2016      7         6         0.46      36400     
2016      7         11        0.51      26800     
2016      7         26        0.53      14900     
2016      8         18        0.65      10900     
2016      10        18        0.13      2580      
2016      10        31        0.02      1800      
2016      12        6         0.85      13600     
2017      1         10        0.21      2590      
2017      1         16        0.05      2550      
2017      2         6         0.766     5100      
2017      2         7         0.22      4630      
2017      3         7         0.37      14300     
2017      4         5         0.29      5040      
2017      4         20        0.774     27600     
2017      4         25        0.53      19800     
2017      5         3         0.34      8190      
2017      5         16        0.15      1860      
2017      5         18        0.0478    1860      
2017      6         6         0.61      7680      
2017      6         12        0.433     6710      
2017      6         27        0.49      5720      
2017      7         10        0.247     4350      
2017      7         11        0.28      4240      
2017      7         25        0.15      1560      
2017      8         15        0.26      1800      
2017      8         30        0.39      117000    
2017      9         8         1.15      28200     
2017      10        18        0.21      3490      
2017      12        12        0.23      1580      
2018      1         9         0.33      1750      
2018      2         13        0.48      2590      
2018      3         6         0.31      3900      
2018      4         3         0.94      31300     
2018      4         16        0.29      4580      
2018      5         9         0.14      1080      
2018      5         21        0.17      760       
2018      6         5         0.16      711       
2018      6         19        0.22      858       
2018      7         10        0.33      1510      
2018      7         24        0.15      546       
2018      8         7         0.18      622       
2018      10        9         0.38      2220      
2018      12        11        0.79      51700     
