Year    Month   Day     Conc_mg/l Q_cfs         
2008      2         11        0.282     455000    
2008      3         10        0.061     782000    
2008      4         7         0.188     1280000   
2008      4         21        0.158     1450000   
2008      5         5         0.157     1290000   
2008      5         27        0.207     997000    
2008      6         9         0.218     806000    
2008      6         23        0.37      803000    
2008      7         8         0.296     795000    
2008      8         18        0.26      449000    
2008      10        20        0.2       275000    
2008      11        17        0.236     228000    
2009      1         19        0.234     616000    
2009      2         3         0.193     362000    
2009      3         2         0.283     573000    
2009      4         6         0.249     707000    
2009      4         23        0.225     808000    
2009      5         4         0.184     784000    
2009      5         20        0.172     1170000   
2009      6         1         0.163     1270000   
2009      6         18        0.224     771000    
2009      8         13        0.23      482000    
2009      10        8         0.253     506000    
2009      12        2         0.286     725000    
2010      1         12        0.222     786000    
2010      2         16        0.173     1020000   
2010      2         23        0.152     937000    
2010      3         11        0.16      640000    
2010      3         22        0.22      658000    
2010      4         7         0.176     904000    
2010      4         21        0.199     720000    
2010      5         5         0.212     582000    
2010      5         19        0.205     864000    
2010      6         2         0.168     890000    
2010      6         16        0.218     562000    
2010      8         11        0.343     491000    
2010      10        27        0.208     289000    
2010      12        8         0.242     344000    
2011      1         10        0.192     271000    
2011      2         9         0.163     288000    
2011      2         22        0.15      299000    
2011      3         8         0.542     705000    
2011      3         21        0.253     910000    
2011      4         6         0.147     952000    
2011      4         20        0.243     739000    
2011      5         9         0.15      1320000   
2011      5         16        0.158     1500000   
2011      5         23        0.151     1590000   
2011      5         30        0.139     1480000   
2011      6         6         0.146     1340000   
2011      6         13        0.183     1090000   
2011      6         20        0.18      895000    
2011      6         27        0.253     670000    
2011      7         11        0.268     687000    
2011      7         25        0.261     505000    
2011      8         22        0.274     391000    
2011      10        24        0.181     203000    
2011      12        6         0.339     620000    
2012      1         17        0.181     549000    
2012      2         6         0.259     771000    
2012      2         22        0.193     661000    
2012      3         5         0.149     415000    
2012      3         19        0.229     730000    
2012      4         2         0.175     811000    
2012      4         16        0.183     528000    
2012      4         30        0.176     384000    
2012      5         14        0.246     457000    
2012      6         11        0.192     235000    
2012      6         25        0.187     204000    
2012      8         6         0.197     156000    
2012      10        22        0.181     153000    
2012      12        3         0.15      155000    
2013      1         15        0.322     523000    
2013      2         5         0.31      667000    
2013      2         18        0.301     703000    
2013      3         4         0.286     514000    
2013      3         18        0.172     536000    
2013      4         8         0.231     624000    
2013      4         22        0.275     636000    
2013      5         6         0.285     902000    
2013      5         20        0.164     977000    
2013      6         3         0.186     880000    
2013      6         17        0.316     840000    
2013      7         15        0.298     609000    
2013      7         30        0.23      559000    
2013      8         19        0.247     404000    
2013      11        12        0.195     244000    
2013      12        3         0.276     325000    
2014      1         16        0.251     613000    
2014      2         3         0.226     389000    
2014      2         18        0.266     628000    
2014      3         5         0.32      600000    
2014      3         17        0.258     567000    
2014      4         7         0.289     499000    
2014      4         21        0.284     855000    
2014      5         5         0.268     568000    
2014      5         19        0.234     639000    
2014      6         4         0.242     634000    
2014      6         16        0.292     597000    
2014      7         7         0.446     505000    
2014      7         28        0.307     477000    
2014      8         18        0.199     276000    
2014      10        20        0.327     424000    
2014      12        8         0.144     300000    
2015      1         12        0.19      564000    
2015      2         24        0.14      326000    
2015      3         9         0.214     579000    
2015      3         23        0.272     953000    
2015      4         6         0.144     1050000   
2015      4         20        0.266     876000    
2015      5         7         0.153     944000    
2015      5         18        0.322     644000    
2015      6         1         0.352     763000    
2015      6         15        0.265     810000    
2015      6         29        0.375     830000    
2015      7         13        0.2       998000    
2015      8         10        0.226     850000    
2015      10        5         0.24      223000    
2015      12        7         0.338     688000    
2016      1         11        0.254     1300000   
2016      2         3         0.176     890000    
2016      2         25        0.191     685000    
2016      3         7         0.272     808000    
2016      3         21        0.163     970000    
2016      4         4         0.204     874000    
2016      4         18        0.236     730000    
2016      5         2         0.207     651000    
2016      5         23        0.288     764000    
2016      6         6         0.252     695000    
2016      6         20        0.257     496000    
2016      7         11        0.113     400000    
2016      7         25        0.208     417000    
2016      8         22        0.245     444000    
2017      3         27        0.0702    460000    
2017      5         25        0.15      1220000   
2017      6         8         0.18      1110000   
2017      6         19        0.23      828000    
2017      7         10        0.24      531000    
2017      7         25        0.2       435000    
2017      8         14        0.23      438000    
2017      10        16        0.19      213000    
2017      12        14        0.19      251000    
2018      1         23        0.258     315000    
2018      2         8         0.344     456000    
2018      3         1         0.343     984000    
2018      3         12        0.153     1350000   
2018      3         26        0.144     1250000   
2018      4         9         0.232     974000    
2018      4         23        0.176     1090000   
2018      5         7         0.154     945000    
2018      5         21        0.198     671000    
2018      6         4         0.249     603000    
2018      6         21        0.186     410000    
2018      7         9         0.358     614000    
2018      7         23        0.286     400000    
2018      8         13        0.221     322000    
2018      10        15        0.293     663000    
2018      12        3         0.196     721000    
