Year    Month   Day     Conc_mg/l Q_cfs     
2008      4         24        0.0442    17600     
2008      5         20        0.0498    12800     
2008      6         11        0.033     6520      
2008      7         10        0.0319    7100      
2008      8         5         0.0345    7340      
2008      8         20        0.0425    8090      
2008      9         17        0.0418    10200     
2008      10        14        0.0147    9450      
2008      12        23        0.047     38400     
2009      1         15        0.0383    25200     
2009      2         5         0.026     14100     
2009      2         17        0.0364    14600     
2009      3         5         0.0497    21900     
2009      3         24        0.0467    36700     
2009      4         14        0.0755    83100     
2009      5         5         0.0546    23200     
2009      5         27        0.0499    26200     
2009      6         16        0.0444    23800     
2009      8         12        0.0365    10600     
2009      10        21        0.0412    32400     
2009      12        15        0.0527    51100     
2010      1         13        0.0396    27600     
2010      2         3         0.0587    78700     
2010      2         17        0.0485    57000     
2010      3         4         0.0395    34900     
2010      3         24        0.0475    41500     
2010      4         7         0.0445    26800     
2010      4         22        0.0478    21700     
2010      5         20        0.0493    28400     
2010      6         30        0.0342    12300     
2010      8         31        0.0459    11300     
2010      10        27        0.0303    7760      
2010      12        16        0.0286    11300     
2011      1         19        0.0274    13900     
2011      2         14        0.0348    33300     
2011      2         28        0.0439    13100     
2011      3         16        0.0424    28800     
2011      3         28        0.0486    22700     
2011      4         13        0.0455    25300     
2011      4         27        0.0434    18600     
2011      5         18        0.0354    8250      
2011      6         23        0.036     6560      
2011      9         7         0.0417    7030      
2011      10        20        0.0409    6710      
2011      12        20        0.0239    7320      
2012      1         18        0.0286    7510      
2012      2         7         0.0329    18300     
2012      2         23        0.0381    12500     
2012      3         13        0.0371    28900     
2012      3         29        0.0381    13000     
2012      4         11        0.0396    15700     
2012      4         26        0.0368    9410      
2012      5         10        0.0309    6840      
2012      10        23        0.0327    6100      
2012      12        18        0.0316    6700      
2013      1         23        0.037     10500     
2013      2         13        0.102     22100     
2013      3         12        0.0538    37100     
2013      3         28        0.0429    31700     
2013      4         9         0.0514    26700     
2013      4         24        0.0469    26100     
2013      5         29        0.0468    21500     
2013      6         13        0.0475    17000     
2013      6         27        0.0446    19800     
2013      7         11        0.0505    44500     
2013      7         29        0.0542    44900     
2013      8         29        0.0567    42400     
2013      10        30        0.029     8710      
2013      12        18        0.0338    26200     
2014      1         22        0.0398    37400     
2014      2         6         0.0444    22500     
2014      2         20        0.0431    45000     
2014      3         10        0.0433    32000     
2014      3         31        0.0494    32800     
2014      4         24        0.087     91500     
2014      5         7         0.085     65800     
2014      5         21        0.0542    28200     
2014      6         12        0.0413    20300     
2014      6         26        0.0378    17400     
2014      8         28        0.0358    11500     
2014      10        21        0.0431    16400     
2014      12        22        0.026     12300     
2015      1         28        0.0472    27900     
2015      2         12        0.0367    23300     
2015      2         26        0.0325    22600     
2015      3         9         0.0472    32300     
2015      3         30        0.0447    23200     
2015      4         16        0.0427    22900     
2015      4         30        0.0518    39000     
2015      5         14        0.0487    22900     
2015      5         27        0.0463    17100     
2015      6         16        0.05      17400     
2015      7         21        0.0451    11200     
2015      8         18        0.0346    9870      
2015      11        16        0.0418    35200     
2015      12        23        0.0413    27200     
2016      1         28        0.0617    52900     
2016      2         29        0.062     38700     
2016      3         21        0.0576    29500     
2016      3         31        0.0558    33500     
2016      4         14        0.0708    41800     
2016      4         28        0.0558    27000     
2016      5         10        0.0558    22600     
2016      5         26        0.0445    18000     
2016      6         22        0.0388    10900     
2016      7         28        0.0367    10300     
2016      8         25        0.0689    8760      
2016      10        18        0.027     5060      
2016      12        8         0.0987    13700     
2017      1         26        0.0642    36500     
2017      2         8         0.0438    24900     
2017      2         27        0.0442    28500     
2017      3         21        0.0302    17800     
2017      3         30        0.0299    15600     
2017      4         17        0.0464    25200     
2017      4         27        0.0368    15900     
2017      5         11        0.0327    10200     
2017      5         25        0.0697    13700     
2017      6         29        0.0465    27300     
2017      7         31        0.0412    15500     
2017      10        24        0.0304    11800     
2017      12        7         0.0292    7710      
2018      1         18        0.0235    10500     
2018      2         15        0.064     39300     
2018      2         27        0.0414    24200     
2018      3         5         0.0414    23100     
2018      3         29        0.037     24600     
2018      4         12        0.0402    21800     
2018      4         26        0.0383    21600     
2018      5         9         0.0369    20500     
2018      5         24        0.0517    18400     
2018      6         20        0.0521    23500     
2018      7         17        0.0383    17200     
2018      8         28        0.0433    20000     
2018      10        31        0.056     20700     
