Year    Month   Day     Conc_mg/l Q_cfs         
2008      1         9         1.11      15500     
2008      2         14        0.223     1970      
2008      3         5         1.43      49500     
2008      4         16        0.64      7270      
2008      5         6         0.436     5390      
2008      6         2         1.31      11500     
2008      7         9         0.489     4350      
2008      8         4         0.469     8290      
2008      9         2         0.163     825       
2008      10        21        0.272     1470      
2008      11        24        0.148     2150      
2008      12        9         0.111     1520      
2009      1         13        0.138     1910      
2009      2         2         0.059     913         
2009      4         1         0.545     11000     
2009      5         5         0.679     8580      
2009      6         2         0.421     4750      
2009      7         28        0.176     955       
2009      8         17        1.52      37000     
2009      9         1         0.527     6760      
2009      10        15        0.083     663       
2009      11        3         0.586     6300      
2009      12        1         0.225     3520      
2010      1         13        0.061     2550      
2010      2         2         0.154     4350      
2010      3         2         0.135     1910      
2010      4         14        0.221     3040      
2010      5         26        1.48      16100         
2010      7         6         1.77      16600     
2010      8         3         0.302     2750      
2010      9         14        0.797     4080      
2010      10        5         0.234     2380      
2010      11        3         0.351     665       
2010      12        1         0.096     825       
2011      1         5         0.053     838       
2011      2         8         0.052     515       
2011      3         8         0.273     4730      
2011      4         19        1.01      9530      
2011      5         3         0.311     2970      
2011      6         14        0.631     3660      
2011      7         12        0.225     1720      
2011      8         3         0.21      889       
2011      9         7         0.157     437       
2011      10        13        0.132     190       
2011      11        8         0.176     495       
2011      12        7         1.16      2620      
2012      1         11        0.075     560       
2012      2         7         0.654     4850      
2012      3         7         0.218     1580      
2012      4         10        0.366     3990      
2012      5         3         1.7       10200     
2012      6         5         0.169     553       
2012      7         18        0.155     179       
2012      8         6         0.153     141       
2012      9         5         0.223     359       
2012      10        3         0.167     99        
2012      11        6         0.061     123       
2012      12        5         0.084     101       
2013      1         9         0.089     80        
2013      2         6         0.097     297       
2013      3         5         0.066     257       
2013      4         1         0.701     3380      
2013      5         8         0.557     6580      
2013      6         19        0.591     9830      
2013      7         31        0.163     537       
2013      8         21        0.141     257       
2013      9         12        0.121     126       
2013      10        30        0.083     159       
2013      11        25        0.02      249       
2013      12        10        0.137     67        
2014      1         28        0.095     101       
2014      2         19        0.162     624       
2014      3         24        0.146     652       
2014      4         8         0.139     584       
2014      5         28        0.356     1230      
2014      6         17        0.357     2870      
2014      7         9         1.48      12000     
2014      8         12        0.255     1030      
2014      9         8         0.519     2120      
2014      10        7         0.56      3780      
2014      11        4         0.15      1300      
2014      12        16        0.081     1030      
2015      1         21        0.06      576       
2015      2         10        0.61      7770      
2015      3         11        0.2       2470      
2015      5         26        0.86      29900     
2015      6         23        0.87      12600     
2015      7         21        1.22      43600     
2015      8         18        0.32      4150      
2015      9         16        0.25      1950      
2015      10        20        0.1       534       
2015      11        17        0.12      2840      
2015      12        2         0.68      34100     
2016      1         26        0.17      3470      
2016      2         22        0.71      5570      
2016      3         14        0.55      4630      
2016      4         5         0.2       1890      
2016      5         24        0.22      1690      
2016      6         7         0.43      3060      
2016      7         19        0.16      889       
2016      8         2         1.02      34600     
2016      9         13        0.51      3670      
2016      10        18        0.13      1220      
2016      11        8         0.088     720       
2016      12        6         0.058     684       
2017      1         10        0.076     1000      
2017      2         6         0.097     968       
2017      3         20        0.11      614       
2017      4         4         1.27      31400     
2017      6         6         0.21      1200      
2017      6         27        0.18      805       
2017      7         25        0.2       1050      
2017      8         8         0.15      602       
2017      9         12        0.15      277       
2017      10        16        0.17      594       
2017      11        7         0.1       384       
2017      12        5         0.091     256       
2018      1         9         0.1       194       
2018      2         13        0.098     242       
2018      3         27        0.11      808       
2018      4         26        0.1       416       
2018      5         8         0.75      1990      
2018      6         6         0.45      1170      
2018      7         9         0.23      513       
2018      8         7         0.22      145       
2018      9         1         0.69      5700      
2018      9         4         1.66      13200     
2018      10        16        0.52      17200     
2018      11        6         0.13      1170      
2018      12        18        0.15      1880      
