Year    Month   Day     Conc_mg/l Q_cfs        
2008      2         25        0.43      284000    
2008      3         12        0.68      362000    
2008      4         7         0.28      485000    
2008      4         30        0.4       536000    
2008      5         14        0.23      562000    
2008      5         29        0.34      484000    
2008      6         11        0.65      542000    
2008      7         2         0.33      710000    
2008      7         23        0.34      344000    
2008      8         13        0.296     229000    
2008      10        15        0.225     160000    
2008      12        10        0.228     101000    
2009      2         24        0.391     215000    
2009      3         16        0.72      476000    
2009      4         6         0.388     440000    
2009      4         22        0.28      420000    
2009      5         4         0.625     565000    
2009      5         27        0.438     508000    
2009      6         8         0.359     345000    
2009      6         24        0.748     462000    
2009      7         22        0.365     210000    
2009      8         24        0.689     279000    
2009      9         8         0.373     171000    
2009      10        5         0.236     134000    
2010      2         24        0.299     291000    
2010      3         16        0.863     487000    
2010      4         6         0.42      538000    
2010      4         21        0.315     363000    
2010      5         3         0.71      468000    
2010      5         17        0.83      522000    
2010      6         8         0.597     411000    
2010      6         22        0.615     565000    
2010      7         20        0.549     493000    
2010      8         11        0.463     436000    
2010      9         1         0.451     310000    
2010      10        25        0.27      248000    
2010      12        6         0.248     217000    
2011      2         15        0.164     136000    
2011      3         8         0.615     486000    
2011      4         5         0.348     392000    
2011      4         26        0.381     718000    
2011      5         10        0.24      573000    
2011      5         26        0.35      541000    
2011      6         7         0.408     577000    
2011      6         21        0.324     604000    
2011      7         12        0.391     553000    
2011      8         2         0.44      431000    
2011      10        4         0.274     195000    
2011      12        6         0.27      186000    
2012      2         7         0.32      187000    
2012      3         22        0.297     224000    
2012      4         3         0.275     263000    
2012      4         17        0.461     289000    
2012      5         1         0.366     217000    
2012      5         14        0.553     310000    
2012      6         5         0.205     174000    
2012      6         25        0.252     159000    
2012      7         24        0.246     105000    
2012      8         21        0.26      78900     
2012      10        2         0.232     78900     
2012      12        4         0.177     74300     
2013      2         5         0.396     149000    
2013      3         12        0.385     291000    
2013      4         2         0.279     232000    
2013      4         15        0.736     440000    
2013      5         7         0.282     635000    
2013      5         23        0.421     471000    
2013      6         5         0.745     771000    
2013      6         25        0.47      464000    
2013      7         9         0.322     442000    
2013      7         23        0.247     247000    
2013      8         13        0.406     283000    
2013      9         10        0.215     95700     
2013      10        29        0.234     92400     
2013      12        3         0.188     87000     
2014      2         19        0.183     76800     
2014      3         11        0.421     124000    
2014      3         17        0.411     213000    
2014      4         8         0.861     389000    
2014      4         22        0.375     268000    
2014      5         6         0.438     313000    
2014      5         19        0.387     363000    
2014      6         3         0.222     285000    
2014      6         16        0.923     400000    
2014      7         8         0.679     467000    
2014      7         30        0.347     260000    
2014      8         5         0.256     168000    
2014      10        7         0.79      373000    
2014      12        9         0.37      198000    
2015      3         10        0.274     132000    
2015      3         23        0.354     220000    
2015      4         14        0.305     227000    
2015      4         21        0.256     232000    
2015      5         5         0.227     172000    
2015      5         19        0.595     277000    
2015      6         9         0.591     451000    
2015      6         24        0.655     728000    
2015      7         28        0.652     473000    
2015      8         4         0.902     394000    
2015      8         24        0.313     202000    
2015      10        6         0.459     145000    
2015      12        2         0.982     455000    
2016      1         5         0.348     802000    
2016      1         26        0.21      280000    
2016      2         3         0.23      265000    
2016      3         9         0.267     248000    
2016      3         28        0.285     273000    
2016      4         6         0.293     328000    
2016      4         19        0.21      273000    
2016      5         4         1.45      401000    
2016      5         17        0.51      446000    
2016      6         8         0.524     345000    
2016      6         21        0.319     310000    
2016      7         27        0.579     311000    
2016      8         22        0.334     257000    
2016      10        5         0.55      333000    
2016      12        6         0.218     195000    
2017      2         7         0.351     224000    
2017      3         7         0.312     272000    
2017      4         11        1.1       515000    
2017      5         7         0.405     905000    
2017      5         23        0.472     531000    
2017      6         13        0.321     392000    
2017      6         27        0.47      292000    
2017      7         10        0.454     298000    
2017      8         8         0.268     187000    
2017      10        3         0.196     117000    
2017      12        5         0.206     138000    
2018      2         28        0.623     410000    
2018      3         13        0.428     276000    
2018      3         26        0.39      247000    
2018      4         4         0.43      363000    
2018      4         18        0.322     259000    
2018      5         2         0.29      287000    
2018      6         25        0.384     308000    
2018      7         23        0.382     289000    
2018      8         13        0.243     212000    
2018      10        23        0.438     509000    
2018      12        3         0.272     319000    
