Year    Month   Day     Conc_mg/l Q_cfs         
2008      1         9         0.0358    20100     
2008      1         29        0.0323    12000     
2008      2         4         0.0238    15200     
2008      2         26        0.0184    27000     
2008      3         20        0.0373    36800     
2008      4         10        0.0447    63800     
2008      4         30        0.061     67600     
2008      5         15        0.0328    15200     
2008      5         30        0.0234    8700      
2008      6         20        0.0298    13400     
2008      6         30        0.0352    17700     
2008      7         30        0.0422    27300     
2008      7         31        0.0815    22800     
2008      8         8         0.0992    58900     
2008      8         22        0.0214    16100     
2008      8         28        0.0522    9100      
2008      9         5         0.0349    7860      
2008      9         17        0.0336    11900     
2008      10        21        0.0195    7110      
2008      11        10        0.0221    17400     
2008      12        1         0.0332    26300     
2009      1         5         0.0171    21400     
2009      2         5         0.0427    10900     
2009      3         13        0.0495    43000     
2009      4         15        0.0301    25200     
2009      5         14        0.0257    24200     
2009      6         8         0.026     8150      
2009      7         27        0.0494    29600     
2009      8         24        0.0532    20700     
2009      9         17        0.0163    5810      
2009      10        20        0.0263    7900      
2009      11        17        0.0315    28200     
2009      12        8         0.0367    30700     
2010      1         22        0.0404    12100     
2010      2         17        0.0384    11600     
2010      3         17        0.072     51900     
2010      4         6         0.0441    58800     
2010      5         4         0.0206    20100     
2010      6         2         0.05      7500      
2010      7         9         0.043     4390      
2010      8         24        0.0421    5560      
2010      9         13        0.0476    2810      
2010      10        4         0.153     53900     
2010      11        22        0.0175    19500     
2010      12        16        0.0428    38300     
2011      1         7         0.028     16600     
2011      2         13        0.0324    8270      
2011      3         15        0.0559    54100     
2011      4         20        0.0637    69600     
2011      5         17        0.0824    45000     
2011      6         15        0.0347    22300     
2011      7         22        0.0318    7960      
2011      8         25        0.0202    12500     
2011      8         29        1.05      118000    
2011      8         30        0.95      122000    
2011      8         31        0.804     83100     
2011      9         21        0.0271    14500     
2011      10        20        0.056     32000     
2011      11        30        0.0444    30700     
2011      12        14        0.0239    24700     
2012      1         6         0.0182    16700     
2012      2         14        0.0207    12100     
2012      3         20        0.0522    37800     
2012      4         10        0.038     10000     
2012      5         8         0.0306    20000     
2012      5         24        0.0232    14500     
2012      6         7         0.0404    30200     
