Year    Month   Day     Conc_mg/l Q_cfs         
2008      1         16        0.0268    22300     
2008      2         26        0.0232    22700     
2008      3         11        0.0643    72800     
2008      4         17        0.0237    15000     
2008      4         22        0.022     9220      
2008      4         24        0.029     8750      
2008      5         8         0.0583    9250      
2008      5         22        0.057     13300     
2008      6         18        0.0698    5450      
2008      6         19        0.062     5590      
2008      6         25        0.0652    5280      
2008      7         9         0.0564    3910      
2008      7         16        0.077     4790      
2008      8         7         0.061     4810      
2008      8         15        0.0623    4940      
2008      8         27        0.0577    3340      
2008      9         23        0.0903    3040      
2008      10        21        0.0533    3480      
2008      11        4         0.044     11800     
2008      12        18        0.0349    29800     
2009      1         12        0.034     13800     
2009      1         30        0.0471    9930      
2009      2         13        0.0368    13200     
2009      2         23        0.0478    9040      
2009      3         12        0.0737    28100     
2009      3         16        0.028     16400     
2009      3         25        0.0212    10500     
2009      4         13        0.0329    10900     
2009      4         27        0.0505    8220      
2009      5         13        0.052     9600      
2009      5         18        0.112     20300     
2009      6         15        0.161     21100     
2009      7         21        0.032     7010      
2009      8         19        0.052     12100     
2009      9         14        0.047     8270      
2009      10        14        0.09      4330      
2009      12        16        0.0388    22500     
2009      12        17        0.039     21500     
2010      1         14        0.0355    10800     
2010      2         4         0.0386    15100     
2010      2         22        0.0325    7590      
2010      2         24        0.051     13500     
2010      3         16        0.0731    60200     
2010      3         22        0.0361    24600     
2010      4         7         0.038     23600     
2010      4         8         0.0392    21600     
2010      4         29        0.0439    19900     
2010      5         6         0.0527    13200     
2010      6         21        0.056     5180      
2010      6         25        0.0627    4600      
2010      8         18        0.065     3340      
2010      8         23        0.067     3270      
2010      10        21        0.036     8020      
2010      11        15        0.031     6620      
2010      12        13        0.0605    20500     
2011      1         19        0.0415    5330      
2011      1         31        0.028     8450      
2011      2         7         0.0365    8070      
2011      2         16        0.0337    7040      
2011      3         9         0.102     62100     
2011      3         14        0.046     68600     
2011      3         24        0.0376    33400     
2011      4         18        0.109     57100     
2011      4         29        0.108     60300     
2011      5         17        0.049     14200     
2011      5         25        0.0768    30800     
2011      6         16        0.0477    9810      
2011      7         19        0.027     5230      
2011      8         17        0.0413    25800     
2011      8         28        0.473     101000    
2011      8         29        0.461     139000    
2011      8         30        0.163     107000    
2011      8         31        0.11      65300     
2011      9         19        0.028     22000     
2011      10        20        0.049     22800     
2011      10        26        0.0336    13600     
2011      11        28        0.0295    21700     
2011      12        14        0.0303    24000     
2012      1         25        0.0539    15100     
2012      2         9         0.0344    11800     
2012      2         22        0.0316    7880      
2012      3         5         0.0317    10700     
2012      3         21        0.04      7860      
2012      4         12        0.0326    4200      
2012      4         19        0.031     3740      
2012      4         25        0.105     16600     
2012      5         16        0.163     28400     
2012      5         23        0.0577    12800     
2012      6         13        0.0465    10500     
2012      6         27        0.0829    4910      
2012      7         11        0.0868    3640      
2012      7         26        0.068     4040      
2012      8         9         0.0714    4110      
2012      8         20        0.083     4390      
2012      9         5         0.112     4660      
2012      10        24        0.053     14500     
2012      10        30        0.123     20500     
2012      10        31        0.0969    25800     
2012      11        5         0.0339    14900     
2012      11        19        0.035     8610      
2012      12        17        0.0292    6990      
2013      1         16        0.0609    20100     
2013      2         13        0.0321    12600     
2013      2         27        0.0339    9100      
2013      3         13        0.193     28100     
2013      3         14        0.087     37700     
2013      3         20        0.0331    17700     
2013      3         21        0.024     15900     
2013      4         4         0.022     9960      
2013      4         15        0.047     13500     
2013      4         24        0.0453    13500     
2013      5         9         0.105     7680      
2013      5         30        0.0781    9230      
2013      6         14        0.108     37500     
2013      6         17        0.047     34500     
2013      6         19        0.0563    24300     
2013      7         2         0.103     34800     
2013      7         24        0.091     9290      
2013      8         21        0.0611    5800      
2013      8         27        0.064     4970      
