Year    Month   Day     Conc_mg/l Q_cfs         
2008      2         25        0.511     66100     
2008      3         19        0.32      45700     
2008      4         8         0.231     44000     
2008      4         21        0.194     48700     
2008      5         6         0.243     33400     
2008      5         19        0.285     38300     
2008      6         10        0.423     56300     
2008      6         20        0.286     48200     
2008      7         8         0.387     34800     
2008      8         19        0.432     8510      
2008      10        20        0.42      29000     
2008      12        3         0.387     11300     
2009      2         12        0.763     33000     
2009      3         3         0.467     45900     
2009      3         17        0.262     91300     
2009      4         8         0.171     68100     
2009      4         21        0.178     70200     
2009      5         5         0.169     84300     
2009      5         19        0.246     96500     
2009      6         10        0.26      55400     
2009      6         23        0.35      52000     
2009      8         11        0.351     10600     
2009      10        15        0.516     20800     
2009      11        3         0.373     68900     
2009      12        8         0.28      40900     
2010      1         14        0.245     40000     
2010      2         16        0.22      27600     
2010      3         9         0.482     36000     
2010      3         24        0.214     61900     
2010      4         6         0.192     49600     
2010      4         21        0.281     32800     
2010      5         4         0.33      30300     
2010      5         17        0.66      42500     
2010      6         2         0.233     54400     
2010      6         16        0.301     60400     
2010      7         7         0.241     70500     
2010      7         21        0.474     41600     
2010      8         4         0.408     32100     
2010      8         17        0.433     21700     
2010      9         1         0.415     5200      
2010      10        19        0.375     5440      
2010      12        7         0.566     13000     
2011      2         22        0.693     44100     
2011      3         7         0.3       61300     
2011      3         29        0.263     41000     
2011      4         5         0.319     32900     
2011      4         18        0.54      29900     
2011      5         5         0.189     73500     
2011      5         17        0.23      52300     
2011      6         7         0.205     71900     
2011      6         21        0.218     68400     
2011      8         24        0.464     11300     
2011      10        19        0.415     5350      
2011      12        1         0.476     15500     
2012      1         5         0.355     15900     
2012      2         24        0.308     13300     
2012      3         8         0.45      17600     
2012      3         27        0.356     16700     
2012      4         11        0.297     7540      
2012      4         24        0.391     13200     
2012      5         16        0.473     35700     
2012      5         30        0.373     9520      
2012      6         13        0.276     8490      
2012      6         27        0.472     7180      
2012      8         21        0.672     4470      
2013      2         13        0.73      25300     
2013      3         8         0.321     21300     
2013      3         21        0.34      47200     
2013      4         11        1.38      33000     
2013      4         24        0.412     110000    
2013      5         8         0.255     93300     
2013      5         22        0.213     52200     
2013      6         5         0.287     86300     
2013      6         19        0.248     64700     
2013      7         10        0.332     40000     
2013      7         22        0.342     15400     
2013      8         14        0.352     8350      
2013      11        1         0.487     9500      
2013      12        13        0.431     7280      
2014      2         21        0.907     35400     
2014      3         5         0.573     47800     
2014      3         31        0.343     42300     
2014      4         9         0.283     42500     
2014      4         23        0.303     29200     
2014      5         7         0.32      22700     
2014      5         22        0.432     35500     
2014      6         5         0.756     27100     
2014      7         9         0.331     44600     
2014      7         24        0.383     41100     
2014      9         2         0.539     19700     
2014      11        6         0.28      13000     
2015      1         20        0.3       22600     
2015      3         12        0.61      27700     
2015      3         19        0.83      37300     
2015      4         8         0.35      21500     
2015      4         27        0.39      21800     
2015      5         11        0.55      31100     
2015      5         20        0.34      37900     
2015      6         3         0.43      33400     
2015      6         17        0.44      65600     
2015      6         29        0.23      105000    
2015      8         6         0.31      50200     
2015      9         1         0.35      7920      
2015      9         23        0.59      23600     
2015      10        13        0.3       6830      
2015      12        10        0.26      41700     
2016      2         29        0.33      18600     
2016      3         30        0.23      30400     
2016      4         13        0.25      32000     
2016      4         21        0.26      28300     
2016      5         3         0.32      25500     
2016      5         18        0.3       40600     
2016      6         1         0.39      31700     
2016      6         30        0.49      22500     
2016      7         13        0.38      13700     
2016      7         27        0.57      28700     
2016      8         16        0.53      20000     
2016      10        26        0.36      16200     
2016      12        6         0.39      29700     
2017      2         28        0.28      18100     
2017      3         14        0.34      26000     
2017      3         28        0.36      24800     
2017      4         12        0.22      61900     
2017      4         26        0.2       48200     
2017      5         3         0.34      57700     
2017      5         22        0.23      72200     
2017      6         5         0.23      48300     
2017      6         15        0.61      28400     
2017      7         11        0.37      15700     
2017      7         27        0.44      30500     
2017      8         17        0.34      8520      
2017      10        3         0.35      5540      
2017      11        6         0.37      14700     
2017      12        19        0.32      7780      
2018      2         15        0.23      9410      
2018      3         12        0.24      64700     
2018      3         27        0.81      42000     
2018      4         10        0.27      35400     
2018      4         24        0.28      32900     
2018      5         8         0.3       24700     
2018      5         22        0.37      24300     
2018      6         5         0.4       27100     
2018      6         19        0.73      37700     
2018      6         26        0.41      40100     
2018      7         3         0.34      42200     
2018      7         17        0.43      20700     
2018      7         23        0.36      11500     
2018      8         8         0.51      4200      
2018      8         21        0.43      7950      
2018      8         27        0.4       8590      
2018      10        23        0.33      17500     
2018      11        16        0.35      14100     
2018      12        3         0.73      36500     
2018      12        18        0.27      34300     
