Year    Month   Day     Conc_mg/l Q_cfs          
2008      1         8         0.467     2780      
2008      1         29        0.476     4510      
2008      2         5         0.348     3120      
2008      2         21        0.264     1710      
2008      3         12        0.142     1890      
2008      3         26        0.159     2290      
2008      4         8         0.178     1960      
2008      4         28        0.185     3250      
2008      5         8         0.164     3230      
2008      5         21        0.154     2820      
2008      6         6         0.201     1190      
2008      6         19        0.245     870       
2008      7         9         0.203     826       
2008      7         23        0.185     812       
2008      8         6         0.176     832       
2008      8         27        0.198     870       
2008      9         9         0.208     888       
2008      9         24        0.223     824       
2008      10        28        0.172     1240      
2008      11        13        0.176     1110      
2008      12        10        0.167     1070      
2008      12        23        0.16      1250      
2009      1         7         0.139     1070      
2009      1         21        0.123     994       
2009      2         4         0.188     1150      
2009      2         18        0.278     1640      
2009      3         10        0.331     1680      
2009      3         25        0.245     1140      
2009      4         8         0.176     1100      
2009      4         22        0.15      1980      
2009      5         5         0.147     2440      
2009      5         20        0.12      2030      
2009      6         2         0.135     1340      
2009      6         16        0.164     947       
2009      7         7         0.173     654       
2009      7         23        0.205     587       
2009      8         18        0.165     597       
2009      8         31        0.177     716       
2009      9         9         0.19      542       
2009      9         24        0.139     1120      
2009      10        27        0.178     2480      
2009      11        24        0.156     1300      
2009      12        1         0.147     1250      
2009      12        15        0.182     1400      
2010      1         5         0.177     1220      
2010      1         19        0.268     1530      
2010      2         2         0.28      1770      
2010      2         17        0.263     2410      
2010      3         3         0.336     3780      
2010      3         18        0.334     2390      
2010      4         8         0.215     3680      
2010      4         20        0.138     4830      
2010      5         5         0.115     5330      
2010      5         18        0.125     4410      
2010      6         2         0.141     3960      
2010      6         15        0.137     6300      
2010      7         7         0.199     2320      
2010      7         20        0.264     1520      
2010      8         4         0.228     1240      
2010      8         19        0.266     1220      
2010      9         9         0.382     1440      
2010      9         29        0.244     1660      
2010      10        25        0.198     3230      
2010      11        8         0.22      2010      
2010      12        14        0.115     4040      
2010      12        29        0.198     10900     
2011      1         13        0.176     13100     
2011      1         25        0.158     8620      
2011      2         9         0.106     6800      
2011      2         28        0.168     12000     
2011      3         16        0.144     8720      
2011      3         30        0.184     27100     
2011      4         19        0.162     26500     
2011      4         26        0.231     21500     
2011      5         11        0.139     13500     
2011      6         2         0.102     10600     
2011      6         21        0.144     9940      
2011      7         6         0.164     9190      
2011      8         2         0.159     4370      
2011      8         9         0.118     5070      
2011      8         23        0.0531    5360      
2011      9         7         0.111     4610      
2011      9         20        0.136     4060      
2011      10        26        0.122     4950      
2011      11        22        0.159     2510      
2011      12        6         0.142     1850      
2011      12        28        0.151     1740      
2012      1         4         0.15      1670      
2012      1         19        0.12      1760      
2012      2         7         0.186     1630      
2012      2         21        0.223     1530      
2012      3         13        0.193     1400      
2012      3         28        0.274     1690      
2012      4         3         0.182     1610      
2012      4         16        0.252     3390      
2012      5         16        0.125     3170      
2012      5         30        0.139     2350      
2012      6         6         0.308     1490      
2012      6         21        0.154     1580      
2012      7         2         0.162     1380      
2012      7         23        0.184     948       
2012      8         8         0.176     748       
2012      9         6         0.17      791       
2012      9         20        0.195     956       
2012      10        17        0.138     2170      
2012      11        14        0.176     1240      
2012      12        5         0.239     1770      
2012      12        18        0.176     1420      
2013      1         10        0.305     2330      
2013      1         24        0.198     1540      
2013      2         7         0.15      2020      
2013      2         27        0.141     2330      
2013      3         21        0.209     1410      
2013      4         23        0.126     2930      
2013      5         9         0.094     3570      
2013      5         29        0.178     895       
2013      6         11        0.165     788       
2013      6         27        0.13      630       
2013      7         19        0.16      527       
2013      7         26        0.174     548       
2013      8         7         0.133     482       
2013      9         6         0.122     557       
2013      10        24        0.137     1600      
2013      11        21        0.185     1210      
2013      12        17        0.273     931       
2014      1         9         0.103     733       
