Year      Month     Day       Conc_mg/l Q_cfs     
2008      10        15        0.2       342000    
2008      12        4         0.156     259000    
2009      1         8         0.489     897000    
2009      2         4         0.222     451000    
2009      3         5         0.241     654000    
2009      3         24        0.517     825000    
2009      4         8         0.413     987000    
2009      4         22        0.235     1040000   
2009      5         6         0.221     1050000   
2009      5         21        0.173     1530000   
2009      6         4         0.205     1250000   
2009      8         13        0.208     576000    
2009      10        21        0.275     856000    
2009      12        16        0.231     804000    
2010      1         6         0.27      1090000   
2010      2         10        0.201     1250000   
2010      3         2         0.156     770000    
2010      3         16        0.125     625000    
2010      4         6         0.229     1150000   
2010      4         21        0.23      797000    
2010      5         6         0.554     896000    
2010      5         26        0.25      1250000   
2010      6         10        0.234     774000    
2010      8         5         0.337     690000    
2010      10        20        0.22      409000    
2010      12        8         0.231     533000    
2011      1         6         0.188     312000    
2011      2         9         0.165     375000    
2011      3         1         0.52      726000    
2011      3         23        0.205     1370000   
2011      4         6         0.149     1250000   
2011      4         20        0.195     1010000   
2011      5         4         0.181     1650000   
2011      5         13        0.169     2250000   
2011      5         19        0.174     2300000   
2011      5         25        0.172     2020000   
2011      6         1         0.169     1700000   
2011      6         8         0.196     1430000   
2011      6         14        0.206     1170000   
2011      6         21        0.238     875000    
2011      7         13        0.231     912000    
2011      7         27        0.231     642000    
2011      8         17        0.214     546000    
2011      10        19        0.15      280000    
2011      12        14        0.298     1140000   
2012      1         19        0.165     616000    
2012      2         22        0.162     660000    
2012      3         7         0.12      540000    
2012      3         28        0.192     1010000   
2012      4         11        0.151     652000    
2012      4         25        0.149     534000    
2012      5         9         0.188     611000    
2012      5         22        0.276     643000    
2012      6         13        0.184     327000    
2012      8         23        0.157     203000    
2012      10        17        0.193     211000    
2012      12        6         0.134     190000    
2013      1         24        0.381     890000    
2013      2         5         0.277     708000    
2013      3         4         0.188     539000    
2013      3         20        0.398     910000    
2013      4         12        0.144     613000    
2013      4         25        0.303     1030000   
2013      5         9         0.218     1280000   
2013      5         28        0.177     1160000   
2013      6         5         0.224     903000    
2013      6         26        0.215     1000000   
2013      7         18        0.253     1000000   
2013      8         2         0.192     555000    
2013      10        30        0.161     248000    
2013      12        3         0.175     372000    
2014      1         9         0.264     946000    
2014      2         5         0.164     433000    
2014      3         5         0.365     891000    
2014      3         19        0.204     659000    
2014      4         9         0.251     742000    
2014      4         23        0.223     1000000   
2014      5         7         0.289     840000    
2014      5         22        0.219     803000    
2014      6         18        0.538     849000    
2014      6         24        0.373     709000    
2014      7         23        0.351     769000    
2014      8         22        0.162     381000    
2014      10        15        0.3       493000    
2014      12        3         0.13      384000    
2015      1         29        0.13      372000    
2015      2         11        0.13      425000    
2015      3         19        0.37      1120000   
2015      3         31        0.18      1290000   
2015      4         15        0.33      984000    
2015      4         30        0.16      1210000   
2015      5         13        0.18      674000    
2015      5         27        0.3       787000    
2015      6         9         0.38      957000    
2015      6         25        0.52      995000    
2015      7         28        0.2       1350000   
2015      8         18        0.25      548000    
2015      10        19        0.19      261000    
2015      12        15        0.28      1000000   
2016      1         13        0.21      1900000   
2016      2         3         0.16      837000    
2016      3         15        0.2       1200000   
2016      3         29        0.18      968000    
2016      4         13        0.2       781000    
2016      4         25        0.18      752000    
2016      5         13        0.43      882000    
2016      5         31        0.29      849000    
2016      6         8         0.28      816000    
2016      6         21        0.19      539000    
2016      7         26        0.21      473000    
2016      8         23        0.29      592000    
2016      10        26        0.25      409000    
2016      12        1         0.18      273000    
2017      1         26        0.45      789000    
2017      2         21        0.16      553000    
2017      3         8         0.2       542000    
2017      3         22        0.25      730000    
2017      4         5         0.17      681000    
2017      4         20        0.34      950000    
2017      5         2         0.25      1020000   
2017      5         18        0.17      1660000   
2017      6         14        0.21      1110000   
2017      6         29        0.21      752000    
2017      7         12        0.39      755000    
2017      8         17        0.2       460000    
2017      10        17        0.22      335000    
2017      12        7         0.2       386000    
2018      1         25        0.28      556000    
2018      2         26        0.38      1180000   
2018      3         8         0.24      1700000   
2018      3         16        0.17      1790000   
2018      4         11        0.22      1210000   
2018      4         24        0.19      1190000   
2018      5         8         0.16      1060000   
2018      5         30        0.22      806000    
2018      6         12        0.18      667000    
2018      6         27        0.18      561000    
2018      7         12        0.31      723000    
2018      9         20        0.53      848000    
2018      10        4         0.31      842000    
2018      12        6         0.22      856000    
