Year    Month   Day     Conc_mg/l Q_cfs     
2008      2         5         0.246     5970      
2008      3         3         0.87      11100     
2008      4         1         0.38      22800     
2008      5         1         0.35      64800     
2008      6         2         0.5       33100     
2008      6         12        0.336     90500     
2008      6         16        0.395     159000    
2008      6         23        0.249     50400     
2008      7         1         0.309     34400     
2008      8         4         0.301     16800     
2008      9         2         0.373     6920      
2008      10        1         0.301     5140      
2008      11        3         0.275     4330      
2008      12        2         0.187     5600      
2009      1         6         0.349     7810      
2009      2         2         0.224     4380      
2009      3         10        0.952     49700     
2009      4         2         0.285     15400     
2009      5         5         0.335     28800     
2009      5         28        0.371     17000     
2009      6         9         0.363     17800     
2009      6         25        0.659     30100     
2009      7         6         0.381     17200     
2009      7         23        0.409     21000     
2009      8         3         0.315     7310      
2009      8         19        0.438     11700     
2009      9         1         0.449     32600     
2009      10        7         0.24      10900     
2009      11        2         0.356     39300     
2009      12        1         0.176     14300     
2010      1         5         0.143     10100     
2010      2         1         0.191     12500     
2010      3         2         0.198     7660      
2010      4         1         0.288     24500     
2010      5         3         0.336     18700     
2010      5         17        0.468     31800     
2010      6         1         0.223     15500     
2010      6         22        0.34      45900     
2010      7         7         0.455     37200     
2010      7         20        0.293     21800     
2010      8         5         0.43      34300     
2010      8         16        0.344     35900     
2010      9         1         0.282     9100      
2010      10        5         0.3       15700     
2010      11        2         0.205     5740      
2010      12        1         0.206     7330      
2011      1         4         0.413     7680      
2011      1         31        0.212     4820      
2011      3         2         0.402     15700     
2011      3         17        0.328     11300     
2011      4         14        0.285     10600     
2011      5         2         0.242     27900     
2011      5         23        0.276     13700     
2011      6         6         0.392     22000     
2011      6         20        0.315     22000     
2011      7         7         0.33      14400     
2011      7         18        0.358     7880      
2011      8         1         0.431     8120      
2011      8         15        0.326     4330      
2011      9         1         0.39      3190      
2011      10        4         0.418     2210      
2011      11        2         0.414     1880      
2011      12        5         0.304     3390      
2012      1         11        0.217     3780      
2012      2         15        0.221     3500      
2012      3         6         0.23      5980      
2012      3         19        0.453     5660      
2012      4         3         0.431     5560      
2012      4         19        0.541     11200     
2012      5         1         0.346     10100     
2012      5         14        0.416     12300     
2012      6         4         0.312     6050      
2012      6         20        0.351     3550      
2012      7         10        0.498     2220      
2012      7         24        0.512     1600      
2012      8         2         0.554     1340      
2012      8         15        0.912     1430      
2012      9         5         0.527     1070      
2012      10        9         0.67      875       
2012      11        29        0.484     1170      
2012      12        10        0.537     1170      
2013      1         14        0.539     1020      
2013      2         11        0.91      9210      
2013      3         4         0.502     1840      
2013      3         19        0.67      28100     
2013      4         1         0.465     10100     
2013      4         15        0.381     21600     
2013      5         2         0.319     19800     
2013      5         15        0.237     30900     
2013      6         3         0.386     81800     
2013      6         17        0.384     31300     
2013      7         1         0.322     49700     
2013      7         15        0.358     10100     
2013      8         12        0.295     5630      
2013      9         16        0.384     2150      
2013      10        21        0.336     1990      
2013      11        12        0.521     2090      
2013      12        10        0.214     1840      
2014      1         8         0.432     1690      
2014      2         11        0.522     1130      
2014      3         5         0.556     2210      
2014      3         18        1.27      22000     
2014      4         8         0.545     9760      
2014      4         23        0.364     9240      
2014      5         7         0.376     23000     
2014      5         20        0.32      19100     
2014      6         11        0.357     10600     
2014      6         24        0.783     32700     
2014      7         3         0.579     106000    
2014      7         22        0.341     18400     
2014      8         13        0.256     4990      
2014      9         17        0.35      10000     
2014      10        8         0.258     5360      
2014      12        11        0.188     4680      
2015      2         11        0.225     4850      
2015      3         11        1.12      10400     
2015      3         26        0.292     5550      
2015      4         8         0.318     5490      
2015      4         22        0.36      12400     
2015      5         6         1.33      20000     
2015      5         20        0.328     10100     
2015      6         3         0.338     15100     
2015      6         18        0.622     31800     
2015      7         7         0.604     28800     
2015      7         22        0.177     13100     
2015      8         12        0.55      16500     
2015      10        14        0.277     5290      
2015      11        19        0.509     10800     
2016      2         17        0.25      7840      
2016      3         9         0.233     16000     
2016      3         24        0.21      18000     
2016      4         6         0.305     20500     
2016      4         19        0.248     12100     
2016      5         11        0.818     20600     
2016      5         24        0.253     10100     
2016      6         8         0.345     16700     
2016      6         22        0.652     23800     
2016      7         13        0.407     11200     
2016      7         27        0.389     19400     
2016      8         10        0.3       9120      
2016      9         30        0.322     76000     
2016      10        19        0.277     17000     
2016      12        6         0.175     10300     
2017      2         15        0.333     8790      
2017      3         8         0.28      18200     
2017      3         22        0.197     12900     
2017      4         12        0.282     24100     
2017      4         26        0.292     22300     
2017      5         17        0.398     15400     
2017      6         1         0.298     21600     
2017      6         14        0.301     9330      
2017      6         28        0.333     9840      
2017      7         12        0.441     9640      
2017      7         26        0.458     9510      
2017      8         16        0.303     3150      
2017      10        26        0.302     5770      
2017      12        5         0.292     3100      
2018      2         21        2.47      22100     
2018      3         5         0.98      13600     
2018      3         21        0.476     7920      
2018      4         12        0.29      8980      
2018      4         25        0.442     19400     
2018      5         9         0.492     20900     
2018      5         23        0.34      18000     
2018      6         6         0.374     8650      
2018      6         20        0.439     22500     
2018      7         11        0.383     20300     
2018      7         25        0.35      10300     
2018      8         8         0.359     6130      
2018      9         10        0.383     57800     
2018      10        24        0.269     32500     
2018      12        6         0.194     17100     
