Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         8         0.0185    5820      
2008      1         14        0.0495    16800     
2008      2         5         0.0621    18300     
2008      2         12        0.0452    13300     
2008      3         4         0.0248    8340      
2008      3         7         0.17      71700     
2008      4         2         0.0267    7830      
2008      4         22        0.388     71800     
2008      5         6         0.0719    18800     
2008      5         13        0.31      128000    
2008      5         15        0.139     61500     
2008      5         28        0.0461    13500     
2008      6         4         0.0444    13400     
2008      6         10        0.0675    9850      
2008      6         25        0.0395    4380      
2008      7         1         0.0372    3930      
2008      7         8         0.0396    4960      
2008      7         22        0.204     2500      
2008      8         4         0.05      2180      
2008      8         14        0.0286    1540      
2008      8         26        0.0248    996       
2008      9         4         0.0259    2320      
2008      9         8         0.0868    7580      
2008      10        1         0.106     7020      
2008      11        4         0.0193    2030      
2008      12        3         0.0125    3790      
2008      12        15        0.149     22200     
2009      1         12        0.0627    17500     
2009      3         3         0.0167    4810      
2009      4         1         0.0655    14300     
2009      4         22        0.307     36800     
2009      5         5         0.161     50800     
2009      5         6         0.553     117000    
2009      5         14        0.0785    17900     
2009      5         27        0.15      15600     
2009      6         3         0.0738    10200     
2009      6         15        0.0883    11300     
2009      6         25        0.0831    10500     
2009      7         1         0.0372    5140      
2009      7         15        0.0111    2590      
2009      8         11        0.0644    2350      
2009      8         18        0.0428    1730      
2009      8         27        0.0467    1930      
2009      9         2         0.0485    1960      
2009      10        6         0.035     1690      
2009      11        3         0.0702    6900      
2010      1         27        0.708     147000    
2010      3         4         0.035     24100     
2010      4         6         0.0451    17500     
2010      5         4         0.0299    7880      
2010      5         11        0.0374    6180      
2010      5         25        0.167     24500     
2010      6         1         0.051     10400     
2010      6         8         0.0486    6730      
2010      6         22        0.0487    3060      
2010      7         8         0.0379    1330      
2010      7         15        0.0417    2790      
2010      7         29        0.0682    1390      
2010      8         3         0.0472    1000      
2010      8         10        0.0262    1080      
2010      8         24        0.0318    1260      
2010      9         2         0.0209    1020      
2010      10        1         0.144     13100     
2010      10        7         0.0468    4930      
2010      11        2         0.0358    2040      
2010      12        1         0.0375    3850      
2010      12        3         0.336     47900     
2011      1         6         0.0111    2460      
2011      2         3         0.0227    4660      
2011      3         1         0.0996    23600     
2011      3         9         0.181     49700     
2011      3         14        0.173     56300     
2011      4         6         0.0271    11700     
2011      4         18        0.371     162000    
2011      5         3         0.0849    30800     
2011      5         12        0.039     12300     
2011      5         19        0.334     134000    
2011      5         25        0.0651    24500     
2011      6         2         0.0515    13300     
2011      6         9         0.0329    6520      
2011      6         23        0.0371    9700      
2011      7         7         0.0367    3240      
2011      7         14        0.0885    5160      
2011      7         26        0.0414    2130      
2011      8         2         0.0597    1430      
2011      8         11        0.0459    1580      
2011      8         25        0.0447    1790      
2011      9         7         0.064     8000      
2011      9         9         0.42      73500     
2011      10        4         0.124     16200     
2011      11        2         0.0544    13400     
2011      12        1         0.0459    21500     
2011      12        9         0.214     80800     
2012      1         11        0.0114    8730      
2012      2         1         0.0219    15500     
2012      3         1         0.0844    17800     
2012      3         3         0.241     55900     
2012      3         6         0.0736    34500     
2012      4         3         0.0341    10400     
2012      5         1         0.0229    6290      
2012      5         10        0.0346    7710      
2012      5         24        0.122     14000     
2012      6         5         0.115     10400     
2012      6         14        0.0402    5570      
2012      6         19        0.0327    3720      
2012      7         9         0.0319    1950      
2012      7         17        0.0415    1770      
2012      7         23        0.0594    4920      
2012      8         7         0.0326    2620      
2012      8         14        0.031     3650      
2012      8         21        0.0283    4250      
2012      9         11        0.029     2680      
2012      9         20        0.126     13100     
2012      10        18        0.0208    2430      
2012      10        31        0.582     134000    
2012      11        1         0.328     76800     
2012      11        2         0.205     35100     
2012      12        4         0.0111    3690      
2013      1         8         0.0141    7880      
2013      1         16        0.0563    23300     
2013      1         18        0.17      47500     
2013      2         1         0.41      91400     
2013      2         5         0.0792    27800     
2013      2         19        0.0165    9590      
2013      2         28        0.055     15800     
2013      3         5         0.0179    12200     
2013      3         14        0.16      43600     
2013      3         19        0.0288    19600     
2013      4         4         0.0182    16500     
2013      4         16        0.0502    18800     
2013      4         20        0.0618    16400     
2013      5         2         0.035     8670      
2013      5         9         0.18      51400     
2013      5         14        0.0872    30700     
2013      6         4         0.0566    6970      
2013      6         8         0.0646    9130      
2013      6         20        0.0722    11400     
2013      7         11        0.0319    5160      
2013      7         23        0.0747    4580      
2013      8         6         0.042     2770      
2013      9         10        0.0223    2320      
2013      11        14        0.0117    2240      
2013      11        27        0.0559    7430      
2013      12        3         0.0257    6080      
2013      12        9         0.214     39200     
2014      1         13        0.178     19100     
2014      2         6         0.212     41700     
2014      2         12        0.0333    17500     
2014      2         24        0.196     66500     
2014      2         26        0.0806    40500     
2014      3         12        0.0237    18900     
2014      3         26        0.016     16000     
2014      3         31        0.325     44000     
2014      4         3         0.0712    28500     
2014      4         9         0.0431    17600     
2014      4         23        0.0342    12400     
2014      5         1         0.543     83900     
2014      5         2         0.23      66900     
2014      5         7         0.0673    20200     
2014      5         16        0.475     71100     
2014      5         17        0.647     144000    
2014      5         19        0.267     63000     
2014      6         5         0.0291    9200      
2014      6         12        0.0462    29100     
2014      6         17        0.147     14600     
2014      7         10        0.0347    5020      
2014      7         21        0.0261    3500      
2014      8         6         0.0241    3570      
2014      9         9         0.0298    2430      
2014      10        1         0.017     1850      
2014      10        17        0.0396    9530      
2014      11        5         0.0174    2260      
2014      12        4         0.0182    5900      
2014      12        10        0.0985    19700     
2015      1         8         0.0235    7420      
